"Features","Feature_Importance_Score","Rank","LB","UB","snr"
"X1",1.248095622167,6.9,0.306527393637544,2.26446798685394,0.1
"X14",-1.01726635997621,10,-1.55494257422356,-0.568595966628298,0.1
"X2",1.45820538854631,6,0.605697636454468,2.46537810254555,0.1
"X3",1.21878502658932,7.2,0.308220380811208,2.20237606263386,0.1
"X4",1.15766023878205,7.6,0.14123822973571,1.9553177836976,0.1
"X5",1.6684902539643,5.1,0.658597270620646,2.64385342749369,0.1
"X6",5.13676498805265,3,2.9816039523434,7.22026055985875,0.1
"X7",14.1438441400754,2,11.330413068117,17.0728653892691,0.1
"X8",41.0126813835801,1,35.7318809187199,46.6414364799069,0.1
"X9",2.29560369109319,5.5,0.927644774358017,3.742686912405,0.1
"X1",1.06584563841433,7.2,0.341798869008091,1.9050868594766,0.5
"X12",-0.85891934339759,9,-0.980493014349465,-0.631161804525815,0.5
"X14",-1.16851238944054,10,-1.97684532945321,-0.475654719545896,0.5
"X2",1.20677111148244,5.9,0.526375448540247,1.97007896461841,0.5
"X3",1.1042805547806,6.8,0.507289466903241,1.72673149006339,0.5
"X4",0.923332488134457,7.5,0.0312106187694707,1.77640155202678,0.5
"X5",1.45031725828054,5.3,0.290732187955196,2.52333803678017,0.5
"X6",4.56204550193269,3,2.60720594282965,6.62405807520695,0.5
"X7",13.5119519038017,2,10.1003641683002,16.9847909534922,0.5
"X8",40.6763162275092,1,35.2173374972859,47.4228313673525,0.5
"X9",1.95159680425111,5.75,0.617590349237933,3.57810457781988,0.5
"X1",1.98900132188212,7.4,1.01002312975027,3.0337126317141,0.75
"X2",2.1985054363027,5.9,1.27916090513782,3.34028928649599,0.75
"X3",1.95559915672204,7.3,1.04420737957805,2.94341526176626,0.75
"X4",1.73857315843304,7.9,0.627690182318656,2.9063889388302,0.75
"X5",2.32831075242261,5.1,1.17258683300801,3.76538408506667,0.75
"X6",5.833339235188,3,3.69126486429901,8.31329379535812,0.75
"X7",15.1322630017723,2,11.5653749361317,19.3513536643332,0.75
"X8",40.4333907600473,1,34.6021136164674,46.2494142588751,0.75
"X9",2.94723656330265,5,0.98186583224716,5.07309933951091,0.75
"X1",0.93934772921795,7.2,0.0636717804759463,1.84185553097951,2.1
"X15",-1.07920047931656,9,-1.83960559773702,-0.458757723930105,2.1
"X2",1.12117695477311,6,0.203817983983155,2.04825134503229,2.1
"X3",1.04990454030576,6.2,0.0447478615006621,2.01529506473797,2.1
"X4",0.789066017046377,7.7,-0.247047756637541,1.7514669697209,2.1
"X5",1.29239378377891,5.5,0.00616494983520239,2.5862754492759,2.1
"X6",4.5764485645706,3,2.5957064101607,6.96118382389116,2.1
"X7",13.6050346348536,2,10.5430647651904,16.3150509501769,2.1
"X8",42.5482667748837,1,37.1903121257745,47.8187423577895,2.1
"X9",2.48408016872904,5.42857142857143,0.915071467022588,4.47188260423622,2.1
