"Features","diff","Correlation"
"X1",0.0573940637059062,0
"X10",-0.520059488078232,0
"X11",-0.912639387213851,0
"X12",-0.851635546256927,0
"X13",0.104090833622852,0
"X14",0.286526931111421,0
"X15",-1.00302294480827,0
"X16",0.0363047224202441,0
"X17",-0.36592663935141,0
"X18",-0.228501378656579,0
"X19",-0.380492058204888,0
"X2",0.0991898068642527,0
"X20",-0.394618480591536,0
"X3",0.043066035483209,0
"X4",0.0399425036818583,0
"X5",0.051815849756048,0
"X6",0.0436413657391503,0
"X7",0.0286689547494694,0
"X8",0.0139077089435704,0
"X9",-0.349475983884978,0
"X1",0.0958536778453318,0.5
"X10",-0.34947598387993,0.5
"X11",-0.520059488081953,0.5
"X12",-0.912639387215451,0.5
"X13",-0.851635546258583,0.5
"X14",0.104090833622633,0.5
"X15",0.286526931111361,0.5
"X16",-1.00302294480829,0.5
"X17",0.0363047224204568,0.5
"X18",-0.365926639353227,0.5
"X19",-0.228501378657911,0.5
"X2",0.084913199142,0.5
"X20",-0.380492058204585,0.5
"X3",0.0688233897985263,0.5
"X4",0.0430660354832055,0.5
"X5",0.0399425036818577,0.5
"X6",0.0331734978122505,0.5
"X7",0.0341002319300387,0.5
"X8",0.0249216948433352,0.5
"X9",-0.285521793942775,0.5
"X1",0.139017925821726,0.75
"X10",-0.349475983885007,0.75
"X11",-0.520059488079242,0.75
"X12",-0.91263938721409,0.75
"X13",-0.851635546252757,0.75
"X14",0.104090833622661,0.75
"X15",0.286526931111478,0.75
"X16",-1.0030229448084,0.75
"X17",0.0363047224204536,0.75
"X18",-0.36592663935409,0.75
"X19",-0.228501378664784,0.75
"X2",0.139306075174398,0.75
"X20",-0.38049205820422,0.75
"X3",0.068823389798527,0.75
"X4",0.043066035483209,0.75
"X5",0.039942503681857,0.75
"X6",0.0331734978122503,0.75
"X7",0.034100231930038,0.75
"X8",0.0249216948433356,0.75
"X9",-0.285521793942635,0.75
"X1",0.292648748670581,0.9
"X10",-0.34947598388106,0.9
"X11",-0.520059488079163,0.9
"X12",-0.91263938721229,0.9
"X13",-0.85163554624542,0.9
"X14",0.104090833623144,0.9
"X15",0.286526931111622,0.9
"X16",-1.00302294480794,0.9
"X17",0.0363047224208678,0.9
"X18",-0.365926639353087,0.9
"X19",-0.228501378654246,0.9
"X2",0.276384800687711,0.9
"X20",-0.380492058203847,0.9
"X3",0.0688233897985246,0.9
"X4",0.0430660354832089,0.9
"X5",0.0399425036818574,0.9
"X6",0.0331734978122483,0.9
"X7",0.0341002319300353,0.9
"X8",0.0249216948433334,0.9
"X9",-0.285521793941831,0.9
