"Features","diff","snr"
"X1",0.12551371461457,0.1
"X10",-0.803949552055254,0.1
"X11",-0.594800481538821,0.1
"X12",-0.740891854803547,0.1
"X13",-0.195058886806033,0.1
"X14",0.0942175591658869,0.1
"X15",0.0287732943698018,0.1
"X16",-0.992006562428797,0.1
"X17",-0.885561878784636,0.1
"X18",0.20758309929629,0.1
"X19",-0.849609273828127,0.1
"X2",0.113950364383655,0.1
"X20",-0.315225945843802,0.1
"X3",0.133867720588429,0.1
"X4",0.125349973583741,0.1
"X5",0.0935883190056726,0.1
"X6",0.0750153512472865,0.1
"X7",0.0466008395140028,0.1
"X8",0.0319525527502522,0.1
"X9",0.223772731335359,0.1
"X1",1.87317541887423,0.5
"X10",-0.803949552054501,0.5
"X11",-0.594800481529577,0.5
"X12",-0.740891854800354,0.5
"X13",-0.195058886810176,0.5
"X14",0.0942175591666001,0.5
"X15",0.0287732943703382,0.5
"X16",-0.992006562428403,0.5
"X17",-0.885561878791688,0.5
"X18",0.207583099295774,0.5
"X19",-0.849609273829257,0.5
"X2",2.27545029359291,0.5
"X20",-0.315225945844404,0.5
"X3",1.72146172915542,0.5
"X4",1.70632476935668,0.5
"X5",1.76748542728695,0.5
"X6",0.985873700492539,0.5
"X7",0.566681764156744,0.5
"X8",0.344338604462819,0.5
"X9",0.223772731336421,0.5
"X1",3.70763108601735,1
"X10",-0.803949552054476,1
"X11",-0.594800481530502,1
"X12",-0.740891854800139,1
"X13",-0.195058886810762,1
"X14",0.0942175591666474,1
"X15",0.0287732943703844,1
"X16",-0.99200656242832,1
"X17",-0.885561878791559,1
"X18",0.207583099296003,1
"X19",-0.849609273829106,1
"X2",4.00423244882285,1
"X20",-0.31522594584404,1
"X3",3.45108060532695,1
"X4",3.50679208645892,1
"X5",3.71135937642697,1
"X6",2.56861197641202,1
"X7",1.70323441627853,1
"X8",1.12672675769902,1
"X9",0.223772731336276,1
"X1",3.9102935507114,2.1
"X10",-0.803949552054527,2.1
"X11",-0.594800481531013,2.1
"X12",-0.740891854800386,2.1
"X13",-0.195058886810039,2.1
"X14",0.0942175591666088,2.1
"X15",0.0287732943703767,2.1
"X16",-0.992006562428369,2.1
"X17",-0.885561878793932,2.1
"X18",0.207583099295968,2.1
"X19",-0.84960927382918,2.1
"X2",3.59448222793263,2.1
"X20",-0.315225945844142,2.1
"X3",3.8741723106371,2.1
"X4",3.86499672899323,2.1
"X5",4.06906885343669,2.1
"X6",4.07840642071919,2.1
"X7",3.61615447405075,2.1
"X8",2.9457182341698,2.1
"X9",0.223772731336319,2.1
