"Features","test.statistics","p.val","rejection","R","beta1"
"X1",0.287171907536428,0.537972872263188,0,0.0127992334671325,0
"X10",-0.253825974212317,0.649908281706482,0,-0.0112075625045985,0
"X11",-0.571874529739731,0.581112108860899,0,-0.0247057366060847,0
"X12",-0.531427187064458,0.622703635417915,0.1,-0.0226619217762987,0
"X13",0.691692786226425,0.345200261824901,0.2,0.0289988770082028,0
"X14",0.809516733205142,0.382092441229875,0.2,0.0368426115768701,0
"X15",-0.400520133529798,0.299799321670328,0.2,-0.0166103942031841,0
"X16",0.35497510838154,0.564550593247643,0,0.0155987537630959,0
"X17",0.12524899692051,0.403411656725813,0.1,0.006372807418795,0
"X18",0.0580087399598304,0.618721343257468,0,0.00282407589737308,0
"X19",-0.0639467281420177,0.55425397790674,0,-0.00220240676589495,0
"X2",14.0996236648534,8.85670824042852e-38,1,1.41019756505672,0
"X20",0.0878038503942344,0.425653544823703,0,0.00475649936780352,0
"X3",14.9221462123884,7.16877089902944e-42,1,1.90956698311592,0
"X4",15.1121931465018,3.30143704094154e-48,1,1.95080887145718,0
"X5",15.0448078474406,3.34044927742536e-46,1,1.97075090539178,0
"X6",15.4358591672391,1.74971879398113e-46,1,2.83335871939665,0
"X7",15.8045567158016,1.65325646459767e-52,1,3.8792714479276,0
"X8",15.706579044738,1.29740476215915e-47,1,4.85090808827853,0
"X9",0.0124349782190661,0.50633837701784,0,0.00052889620317725,0
"X1",12.9828137294047,9.01433815733065e-35,1,0.995644450562017,1
"X10",-0.253825974212317,0.649908281706483,0,-0.0112075625045985,1
"X11",-0.571874529739731,0.581112108860899,0,-0.0247057366060847,1
"X12",-0.531427187064458,0.622703635417916,0.1,-0.0226619217762987,1
"X13",0.691692786226425,0.3452002618249,0.2,0.0289988770082028,1
"X14",0.809516733205142,0.382092441229875,0.2,0.0368426115768701,1
"X15",-0.400520133529797,0.299799321670328,0.2,-0.0166103942031841,1
"X16",0.35497510838154,0.564550593247643,0,0.0155987537630959,1
"X17",0.125248996920511,0.403411656725813,0.1,0.00637280741879504,1
"X18",0.0580087399598306,0.618721343257469,0,0.00282407589737309,1
"X19",-0.0639467281420179,0.55425397790674,0,-0.00220240676589497,1
"X2",14.0996236648534,8.85670824042852e-38,1,1.41019756505672,1
"X20",0.0878038503942355,0.425653544823703,0,0.00475649936780356,1
"X3",14.9221462123884,7.16877089902909e-42,1,1.90956698311592,1
"X4",15.1121931465018,3.30143704094167e-48,1,1.95080887145718,1
"X5",15.0448078474406,3.34044927742536e-46,1,1.97075090539178,1
"X6",15.4358591672391,1.74971879398113e-46,1,2.83335871939665,1
"X7",15.8045567158016,1.65325646459768e-52,1,3.8792714479276,1
"X8",15.706579044738,1.29740476215914e-47,1,4.85090808827853,1
"X9",0.012434978219066,0.506338377017839,0,0.000528896203177243,1
"X1",14.9029627970279,4.22035778708731e-43,1,1.9784896676569,2
"X10",-0.253825974212317,0.649908281706482,0,-0.0112075625045985,2
"X11",-0.571874529739731,0.581112108860899,0,-0.0247057366060847,2
"X12",-0.531427187064459,0.622703635417916,0.1,-0.0226619217762987,2
"X13",0.691692786226425,0.3452002618249,0.2,0.0289988770082028,2
"X14",0.809516733205141,0.382092441229875,0.2,0.03684261157687,2
"X15",-0.400520133529797,0.299799321670328,0.2,-0.0166103942031841,2
"X16",0.354975108381538,0.564550593247643,0,0.0155987537630958,2
"X17",0.125248996920511,0.403411656725813,0.1,0.00637280741879503,2
"X18",0.0580087399598306,0.618721343257469,0,0.00282407589737309,2
"X19",-0.0639467281420185,0.55425397790674,0,-0.00220240676589499,2
"X2",14.0996236648534,8.85670824042852e-38,1,1.41019756505672,2
"X20",0.0878038503942346,0.425653544823704,0,0.00475649936780353,2
"X3",14.9221462123884,7.16877089902909e-42,1,1.90956698311592,2
"X4",15.1121931465018,3.30143704094156e-48,1,1.95080887145718,2
"X5",15.0448078474406,3.34044927742544e-46,1,1.97075090539178,2
"X6",15.4358591672391,1.74971879398113e-46,1,2.83335871939665,2
"X7",15.8045567158016,1.65325646459775e-52,1,3.8792714479276,2
"X8",15.706579044738,1.29740476215914e-47,1,4.85090808827853,2
"X9",0.0124349782190655,0.506338377017839,0,0.000528896203177229,2
"X1",15.3583757526611,3.35921698164299e-45,1,2.96133488475179,3
"X10",-0.253825974212317,0.649908281706482,0,-0.0112075625045985,3
"X11",-0.571874529739732,0.581112108860899,0,-0.0247057366060847,3
"X12",-0.531427187064458,0.622703635417916,0.1,-0.0226619217762987,3
"X13",0.691692786226424,0.345200261824901,0.2,0.0289988770082028,3
"X14",0.809516733205141,0.382092441229875,0.2,0.03684261157687,3
