"Features","test.statistics","p.val","rejection","R","Correlation"
"X1",15.7191035172651,3.38572020697118e-47,1,1.47554774898904,0
"X10",-0.25382597421232,0.649908281706479,0,-0.00112075625045986,0
"X11",-0.571874529739721,0.581112108860905,0,-0.00247057366060843,0
"X12",-0.531427187064452,0.622703635417915,0.1,-0.00226619217762985,0
"X13",0.691692786226426,0.345200261824899,0.2,0.0028998877008203,0
"X14",0.80951673320515,0.382092441229875,0.2,0.00368426115768705,0
"X15",-0.400520133529798,0.299799321670327,0.2,-0.0016610394203184,0
"X16",0.354975108381537,0.564550593247643,0,0.00155987537630958,0
"X17",0.125248996920514,0.403411656725807,0.1,0.000637280741879508,0
"X18",0.0580087399598321,0.618721343257468,0,0.000282407589737321,0
"X19",-0.0639467281420201,0.554253977906741,0,-0.000220240676589507,0
"X2",15.822668480785,1.11520858356279e-46,1,1.42162538062524,0
"X20",0.0878038503942386,0.425653544823699,0,0.000475649936780373,0
"X3",15.8274285308784,9.77156490075932e-52,1,1.91682490989927,0
"X4",15.995610903342,1.7198561041961e-51,1,1.94047418687345,0
"X5",16.0042536637864,3.25689881502734e-50,1,1.96379627609369,0
"X6",15.99372069027,2.63198084105658e-50,1,2.81814293372309,0
"X7",16.099696387767,3.31331399367777e-54,1,3.89886899335325,0
"X8",15.8052035342098,4.42891861126516e-49,1,4.84585125583424,0
"X9",0.0124349782190691,0.50633837701784,0,5.28896203177394e-05,0
"X1",16.0068231795438,1.1056389624073e-48,1,1.08127683035978,0.5
"X10",0.0124349782190662,0.506338377017837,0,5.28896203177287e-05,0.5
"X11",-0.25382597421232,0.649908281706482,0,-0.00112075625045986,0.5
"X12",-0.571874529739726,0.581112108860896,0,-0.00247057366060845,0.5
"X13",-0.531427187064453,0.622703635417921,0.1,-0.00226619217762985,0.5
"X14",0.69169278622641,0.345200261824896,0.2,0.00289988770082023,0.5
"X15",0.809516733205145,0.382092441229875,0.2,0.00368426115768702,0.5
"X16",-0.400520133529795,0.299799321670326,0.2,-0.00166103942031841,0.5
"X17",0.354975108381544,0.56455059324764,0,0.00155987537630962,0.5
"X18",0.125248996920515,0.403411656725812,0.1,0.00063728074187953,0.5
"X19",0.0580087399598338,0.618721343257474,0,0.000282407589737319,0.5
"X2",15.4376471759849,2.57155501317842e-42,1,1.12112776719028,0.5
"X20",-0.0639467281420196,0.55425397790674,0,-0.0002202406765895,0.5
"X3",15.8381996433439,7.40463928591256e-47,1,1.89592375992878,0.5
"X4",15.8274285308784,9.77156490075868e-52,1,1.91682490989927,0.5
"X5",15.995610903342,1.71985610419614e-51,1,1.94047418687345,0.5
"X6",16.0117096970152,3.13681666079587e-50,1,2.94530804584619,0.5
"X7",15.9991693489486,2.33658452997623e-50,1,3.75696036401325,0.5
"X8",16.1015961527577,3.29516847310007e-54,1,4.87413061795338,0.5
"X9",0.125513476161812,0.463217674500458,0.1,0.000561870271588511,0.5
"X1",15.8797223975449,1.91192196046934e-50,1,0.635405779889479,0.75
"X10",0.0124349782190671,0.506338377017835,0,5.28896203177267e-05,0.75
"X11",-0.253825974212315,0.649908281706484,0,-0.00112075625045985,0.75
"X12",-0.571874529739721,0.581112108860891,0,-0.00247057366060844,0.75
"X13",-0.53142718706445,0.622703635417923,0.1,-0.00226619217762984,0.75
"X14",0.691692786226415,0.345200261824899,0.2,0.00289988770082024,0.75
"X15",0.809516733205142,0.382092441229875,0.2,0.00368426115768701,0.75
"X16",-0.40052013352979,0.299799321670331,0.2,-0.00166103942031838,0.75
"X17",0.354975108381543,0.564550593247645,0,0.0015598753763096,0.75
"X18",0.125248996920511,0.403411656725813,0.1,0.000637280741879512,0.75
"X19",0.0580087399598339,0.618721343257468,0,0.000282407589737314,0.75
"X2",15.4969549098885,1.53553868816341e-42,1,0.652047133614637,0.75
"X20",-0.06394672814202,0.55425397790674,0,-0.000220240676589514,0.75
