"Features","test.statistics","p.val","rejection","R","snr"
"X1",16.0144531057646,3.76403746816022e-49,1,0.739228133090348,0.1
"X10",-0.363477850990103,0.453329198916881,0.1,-0.00101005258554078,0.1
"X11",-0.289174420858399,0.574327148868514,0,-0.000687206603066544,0.1
"X12",-0.380624141245717,0.53722404931723,0,-0.000939935832568715,0.1
"X13",0.119650564903646,0.590925990094004,0,0.000245330372620539,0.1
"X14",0.510562808168776,0.449979324543941,0,0.00125433838608066,0.1
"X15",0.481287051522171,0.440604595571735,0.1,0.00128215190326242,0.1
"X16",-0.49660315753993,0.379037583303638,0,-0.00125322942288689,0.1
"X17",-0.381938878566012,0.420144282247836,0.1,-0.00105438185716671,0.1
"X18",0.545362672583432,0.53440222320522,0,0.00137832718276467,0.1
"X19",-0.473394079075509,0.483268020851119,0,-0.0011829076996857,0.1
"X2",15.5181793806703,1.76909905344529e-41,1,0.491722058044106,0.1
"X20",0.102979505700145,0.494515945230391,0.1,0.000323225904763157,0.1
"X3",15.6913305331302,5.26054077304383e-51,1,0.652669752822606,0.1
"X4",15.6585083007293,9.75719663055032e-50,1,0.650229985321317,0.1
"X5",16.2025684118222,8.785853386201e-46,1,0.656729713088408,0.1
"X6",16.0781945290972,4.04085360145930e-52,1,0.982981369471561,0.1
"X7",15.9215337464638,4.29285659408431e-49,1,1.31037996714104,0.1
"X8",15.7775769492222,2.18611269448659e-48,1,1.67421895746545,0.1
"X9",0.612356541480092,0.523146604108873,0.1,0.00152635742380481,0.1
"X1",15.2172780595145,1.58005468232082e-42,1,0.738756761169002,0.5
"X10",-0.363477850990091,0.453329198916882,0.1,-0.00505026292770374,0.5
"X11",-0.289174420858412,0.574327148868508,0,-0.00343603301533292,0.5
"X12",-0.380624141245719,0.537224049317223,0,-0.00469967916284364,0.5
"X13",0.119650564903644,0.590925990094001,0,0.00122665186310265,0.5
"X14",0.510562808168767,0.44997932454394,0,0.00627169193040324,0.5
"X15",0.481287051522163,0.44060459557173,0.1,0.00641075951631195,0.5
