"Features","test.statistics","p.val","rejection","Correlation"
"X1",7.56132635251946,5.96000363573981e-13,1,0
"X10",0.305796715367094,0.50741589429792,0,0
"X11",-0.120902031986041,0.712989532296654,0,0
"X12",-0.000608484737278419,0.753539389209926,0,0
"X13",0.215353288302216,0.660251779348149,0,0
"X14",-0.504569277592357,0.591644300142851,0,0
"X15",0.0544503796894058,0.520655956108396,0,0
"X16",0.374248700219861,0.68578042281477,0,0
"X17",0.0150488859725638,0.721640027326792,0,0
"X18",-0.126974866097255,0.595341175159523,0,0
"X19",0.0725912479871814,0.721726581824388,0,0
"X2",7.5728744503563,4.9910407407878e-12,1,0
"X20",-0.0636981782552589,0.612608215232196,0,0
"X3",9.54587518049022,1.74314052837385e-19,1,0
"X4",9.47236293792189,1.64941643971625e-19,1,0
"X5",9.69591594944062,1.03977519664045e-17,1,0
"X6",11.6873604218635,7.55816676739785e-28,1,0
"X7",13.2799878833318,2.19133814722507e-34,1,0
"X8",13.8807000067307,3.48740800012794e-38,1,0
"X9",-0.312546925397995,0.693605114317884,0,0
"X1",7.52843326772055,8.07689129096356e-12,1,0.5
"X10",-0.174124752577398,0.622914170677703,0,0.5
"X11",0.168990139761768,0.567865385361081,0,0.5
"X12",0.162585409046952,0.725284118417024,0,0.5
"X13",-0.262465629785814,0.657658803879035,0,0.5
"X14",0.145828407652573,0.7099636247475,0,0.5
"X15",-0.226089426939769,0.619399336372284,0,0.5
"X16",-0.0805549984750236,0.446475804378028,0,0.5
"X17",-0.0152454461431626,0.771556481736227,0,0.5
"X18",-0.247985249383916,0.617857207301116,0,0.5
"X19",-0.0673587202864529,0.668977379528033,0,0.5
"X2",7.38124241190113,4.20737899052131e-11,1,0.5
"X20",-0.1379649965641,0.637240521589359,0,0.5
"X3",9.31231623960758,8.41771129808818e-15,1,0.5
"X4",9.65895381894169,2.91331380483681e-19,1,0.5
"X5",9.5113152740541,1.88167237059412e-18,1,0.5
"X6",12.0059617781126,3.46241425899252e-29,1,0.5
"X7",13.1811380241869,1.70946224799601e-34,1,0.5
"X8",13.6851439357886,3.96041551427211e-36,1,0.5
"X9",0.096688238431397,0.747990517411313,0,0.5
"X1",6.65215368383086,1.22460317714872e-09,1,0.75
"X10",-0.314710563865307,0.59200619977538,0,0.75
"X11",0.245286996744596,0.543090425206855,0,0.75
"X12",0.0942946481952131,0.723764120497236,0,0.75
"X13",-0.19877549682239,0.66955312656026,0,0.75
"X14",0.0763738127152224,0.805553686108522,0,0.75
"X15",-0.165858532874418,0.599298817229981,0,0.75
"X16",-0.00218312711915074,0.491401248657781,0,0.75
"X17",-0.0434795825106559,0.778541229176237,0,0.75
"X18",-0.129447515230971,0.616059733452128,0,0.75
"X19",-0.0343825462822233,0.687527125863592,0,0.75
"X2",6.53335347681042,3.43777665534963e-08,1,0.75
"X20",-0.180000766073615,0.727172991622559,0,0.75
"X3",9.30368811043463,1.38065309763629e-15,1,0.75
"X4",9.59787970460609,6.14136696062491e-20,1,0.75
"X5",9.49424368207382,1.86361071577373e-18,1,0.75
"X6",12.0489944816243,6.11603884384842e-29,1,0.75
"X7",13.0449245391334,1.46452496448986e-33,1,0.75
"X8",13.7036684223701,2.02383378259422e-35,1,0.75
"X9",0.00690596950803298,0.79022782323674,0,0.75
"X1",5.50277425017369,1.12230177212053e-05,1,0.9
"X10",-0.191587800835713,0.634781870156682,0,0.9
"X11",0.239458039630088,0.555422155513893,0,0.9
"X12",0.168120980773468,0.702466383074324,0,0.9
"X13",-0.150927431108732,0.744831006946315,0,0.9
"X14",0.069153112442244,0.821570723624235,0,0.9
"X15",-0.129297936392247,0.58203885446874,0,0.9
"X16",-0.0609328025290505,0.496598285141659,0,0.9
"X17",0.00136575134703428,0.787658738038282,0,0.9
"X18",-0.025356381779889,0.710908336603206,0,0.9
"X19",-0.0370611315275653,0.675455060704485,0,0.9
"X2",5.73704819309408,7.90439025488966e-08,1,0.9
"X20",-0.0609267792186491,0.737200218726653,0,0.9
"X3",9.34132835556581,1.15096696848337e-15,1,0.9
"X4",9.66864951040615,3.3394375846521e-20,1,0.9
"X5",9.54260101714522,2.81295020329778e-18,1,0.9
"X6",12.0253451692884,4.91890627874336e-29,1,0.9
"X7",13.0572856966599,6.18263876083867e-34,1,0.9
"X8",13.6333021922927,1.31755979830267e-35,1,0.9
"X9",0.158087231583727,0.768685697895595,0,0.9
