"Features","test.statistics","p.val","rejection","snr"
"X1",7.72569861371753,3.49270786425149e-13,1,0.1
"X10",0.204488269857929,0.710414037477194,0,0.1
"X11",0.119925078939174,0.548613848038659,0,0.1
"X12",-0.604383723311075,0.492918257407028,0.1,0.1
"X13",-0.124420857816632,0.487302631335881,0,0.1
"X14",0.000101664114530581,0.617641480864396,0,0.1
"X15",-0.115727848698879,0.559078179530976,0,0.1
"X16",0.0356379842427686,0.564110282241528,0,0.1
"X17",-0.187147355195839,0.598989248052761,0,0.1
"X18",0.164178711726089,0.673187001581563,0,0.1
"X19",-0.302007671191258,0.591368885097201,0,0.1
"X2",7.59290865793866,1.95855834201029e-12,1,0.1
"X20",-0.0853293244089189,0.571707100233092,0,0.1
"X3",8.43829408070223,7.41791064761771e-15,1,0.1
"X4",8.23085340351935,1.18722778142419e-14,1,0.1
"X5",8.34105488945089,2.41542293666112e-13,1,0.1
"X6",10.2622768047084,1.32493177439514e-19,1,0.1
"X7",11.6997093106218,4.43327619663386e-27,1,0.1
"X8",12.7922271398273,2.29477419141642e-31,1,0.1
"X9",2.29540424362387,0.035264102353783,0.7,0.1
"X1",7.6471034524903,4.36445427188552e-12,1,0.5
"X10",0.206018739708527,0.777576936068462,0,0.5
"X11",0.0927024803406655,0.526110030125351,0,0.5
"X12",-0.492087572676646,0.527178339404867,0,0.5
"X13",-0.0410206586289884,0.608267411474847,0,0.5
"X14",0.0877687656464485,0.628391571169303,0,0.5
"X15",0.101477027173384,0.526281781486972,0,0.5
"X16",0.0601905486415254,0.58210684769188,0,0.5
"X17",-0.30130904288803,0.618298030464563,0,0.5
"X18",0.33141429805935,0.611023083468945,0,0.5
"X19",-0.32846640838387,0.53954767248417,0.1,0.5
"X2",7.603827528255,7.09480814300592e-13,1,0.5
"X20",-0.0457976843915542,0.581870576688838,0,0.5
"X3",8.38372791724162,5.77359252578131e-15,1,0.5
"X4",8.15725441010087,2.68055859571598e-14,1,0.5
"X5",8.26621701443001,3.77359286480763e-13,1,0.5
"X6",10.1511545985866,6.13199933636365e-20,1,0.5
"X7",11.5937459012606,7.06369573325253e-27,1,0.5
"X8",12.7932179985876,3.56666972268237e-30,1,0.5
"X9",2.45089230121034,0.021165524960026,0.8,0.5
"X1",7.66997033845315,4.53963371027421e-13,1,0.75
"X10",0.192200087710507,0.71522505431022,0,0.75
"X11",-0.0701751283715916,0.553041491440846,0,0.75
"X12",-0.704879840226793,0.444137217236037,0,0.75
"X13",-0.0828115002441651,0.677522100573264,0,0.75
"X14",0.116051845744051,0.63280293568074,0,0.75
"X15",0.0887464361300282,0.555325538303872,0,0.75
"X16",-0.131263086315731,0.542644978388811,0,0.75
"X17",-0.343583696490012,0.685453735649959,0,0.75
"X18",0.306624562652931,0.597602841932972,0,0.75
"X19",-0.387057597720508,0.492667531476141,0,0.75
"X2",7.59299065366568,1.30145154575939e-12,1,0.75
"X20",-0.0294138279236601,0.56450937939575,0,0.75
"X3",8.25459574463241,4.15409432895553e-14,1,0.75
"X4",8.00581841534251,1.69147329599509e-13,1,0.75
"X5",8.12239247810546,2.59439468585826e-13,1,0.75
"X6",10.069171250497,5.09377426737502e-20,1,0.75
"X7",11.5426395189561,1.64545823726176e-27,1,0.75
"X8",12.7538462823098,1.22984108314498e-31,1,0.75
"X9",2.37959748958009,0.0344686174081381,0.7,0.75
"X1",6.59978017413758,1.1505341389806e-09,1,2.1
"X10",0.144998038086106,0.681726500491057,0,2.1
"X11",-0.137119596345804,0.518617286754737,0,2.1
"X12",-0.737068540027216,0.470269362322404,0,2.1
"X13",-0.0109581571089216,0.697707077342175,0,2.1
"X14",0.27754621936333,0.522234791814007,0,2.1
"X15",0.290971793961619,0.520503077646246,0,2.1
"X16",-0.139092460902116,0.50253945093922,0.1,2.1
"X17",-0.376022570803486,0.634581159515117,0,2.1
"X18",0.364400478808171,0.508510916112278,0,2.1
"X19",-0.508675310186625,0.380429666883989,0,2.1
"X2",6.74622407893315,7.32453237679744e-09,1,2.1
"X20",-0.122852569848353,0.547777667512706,0,2.1
"X3",7.36716067504175,4.69669162846898e-11,1,2.1
"X4",7.23924079779062,1.07345973349218e-11,1,2.1
"X5",7.28254040668374,2.84186608768381e-12,1,2.1
"X6",9.05754643798176,2.51589425067042e-17,1,2.1
"X7",10.7635606009506,1.72601914547599e-23,1,2.1
"X8",11.9361883126926,7.22338983883619e-28,1,2.1
"X9",2.10152793377685,0.0604218393296351,0.5,2.1
