"Features","test.statistics","p.val","rejection"
"X1",-0.184725119430299,0.674841545430425,0
"X10",-0.172503062617619,0.600847733688765,0
"X11",-0.346554490826643,0.463464701233645,0
"X12",-0.267513543571675,0.606932141415488,0
"X13",-0.0969923750716719,0.644272586443928,0
"X14",-0.499633854016972,0.559697483380015,0.1
"X15",0.244343865113247,0.566574262371953,0
"X16",0.145359204839053,0.634014269682002,0
"X17",-0.182425457795199,0.623056938210896,0.1
"X18",0.160862317862129,0.549703393674536,0
"X19",-0.145632977294976,0.621673666615485,0.1
"X2",-0.0486526690887178,0.654342787730906,0
"X20",0.000462790337673485,0.506266387315962,0
"X3",3.11274360374847,0.017974820801943,0.8
"X4",2.55313896811165,0.0380568253134356,0.9
"X5",0.164684788157284,0.405218613237527,0.1
"X6",-0.299133089950953,0.5835569855274,0.1
"X7",13.292658609763,1.07043121650696e-36,1
"X8",5.05152622592281,5.22961533935109e-05,1
"X9",-0.239291371799419,0.602281912899958,0.1
