"Correlation","Sample_Size","Averaged_Test_Statistic","Rejection_Rate","p_value"
0.01,1000,21.6305776801211,1,0
0.01,1000,21.6017182590115,1,0
0.01,1000,21.3503879478184,1,0
0.01,1000,-0.00522820152916924,0,0.995828517723065
0.5,1000,21.2976163189296,1,0
0.5,1000,21.5726668218003,1,0
0.5,1000,21.5512080995482,1,0
0.5,1000,0.0478278881132257,0,0.961853410483791
0.75,1000,20.7251189039389,1,0
0.75,1000,20.7384332909969,1,0
0.75,1000,21.5444734787511,1,0
0.75,1000,-0.0357086071869597,0,0.971514707387761
0.99,1000,7.79767583162827,1,6.21724893790088e-15
0.99,1000,7.74387042266668,1,9.54791801177635e-15
0.99,1000,21.553684620465,1,0
0.99,1000,0.0400897238506561,0,0.96802159439614
