"Features","Feature_Importance_Score","Test_Statistics","P.Value","Rank","LB","UB","beta1"
"X1",0.00153001470206681,0.353211272934435,0.734332005544915,14.6,-0.0038404758841626,0.00690050528829621,0
"X10",0.00112461540157381,0.266233513866917,0.799470240777677,15.2,-0.00295511401480021,0.00520434481794783,0
"X11",0.00175606454864599,0.3407648574762,0.748109108582141,15,-0.00351613609827667,0.00702826519556864,0
"X12",0.0016706779088813,0.320208359190686,0.772072528266097,15.6,-0.0029795578967164,0.00632091371447901,0
"X13",0.00349010004202714,0.587601952603477,0.582757605098415,12.3,-0.00498773785365567,0.01196793793771,0
"X14",0.00314139386418307,0.522989802093627,0.620314648017349,12.9,-0.0052396148131079,0.011522402541474,0
"X15",0.00343093236652932,0.602502811278354,0.563703822943414,11.2,-0.0055981486702586,0.0124600134033172,0
"X16",0.00114422731679288,0.318670385960832,0.7564854458165,14.9,-0.00361408194661258,0.00590253658019833,0
"X17",0.00266480410465751,0.491175636273035,0.638868918288627,13.1,-0.00520512550834331,0.0105347337176583,0
"X18",0.0012428890620434,0.286510118620981,0.782954220462826,15.6,-0.00337206823296964,0.00585784635705643,0
"X19",0.00109495801112769,0.316545330062407,0.755778010869951,14.3,-0.00395432238718529,0.00614423840944066,0
"X2",2.09814440542231,11.2525494203242,1.05139956788564e-25,7,1.73164853584478,2.46464027499984,0
"X20",0.00257197382842195,0.482422330987163,0.646027800237084,12.9,-0.00461624589224498,0.00976019354908887,0
"X3",3.80475811299471,12.8626229396887,6.45600337657637e-30,5.2,3.22374078454436,4.38577544144506,0
"X4",3.92527826172135,13.0504952228569,1.04398450069947e-34,4.7,3.33522711658357,4.51532940685912,0
"X5",3.95839885464179,12.9829658315824,2.87945278083225e-36,5.1,3.36065660539624,4.55614110388733,0
"X6",8.55248256306248,14.1960948925798,1.0373388055163e-37,3,7.36862265171397,9.73634247441098,0
"X7",15.4333622973756,15.056319494816,1.21895937085171e-47,2,13.4235443864914,17.4431802082598,0
"X8",24.2844749657196,15.2963090710133,4.62498394528747e-44,1,21.1667763113412,27.402173620098,0
"X9",0.00138340718568043,0.361910962109558,0.723254855671566,14.4,-0.00423610200451408,0.00700291637587494,0
"X1",1.00997369873122,9.23906900771499,4.98058603327143e-18,8,0.795214060962415,1.22473333650002,1
"X10",0.00112461540157385,0.266233513867232,0.799470240777425,15.6,-0.00295511401480016,0.00520434481794785,1
"X11",0.00175606454864603,0.340764857476322,0.748109108582045,15.5,-0.0035161360982766,0.00702826519556866,1
"X12",0.00167067790888131,0.320208359190934,0.772072528265898,16,-0.00297955789671638,0.00632091371447901,1
