"Features","Feature_Importance_Score","Test_Statistics","P.Value","Rank","LB","UB","Correlation"
"X1",-0.00544778261357652,-0.093249262557403,0.792026966386778,10.7,-0.0948391932153443,0.0792569325327221,0
"X10",0.00839334137363262,0.334806199735291,0.599835480045383,6.5,-0.0403519334196298,0.0569704162601826,0
"X11",-0.00111787449581923,0.136502845597167,0.640783056023924,8.8,-0.056347908055964,0.0494306592703858,0
"X12",-0.00726360914168822,-0.294436652341604,0.610768655204578,11.6,-0.05488403402039,0.0390754399446537,0
"X13",-0.0022694314958281,-0.140538211281511,0.654231181961848,10.3,-0.0545524108747983,0.0494492302435669,0
"X14",-0.0155846320262381,-0.748173199207733,0.624147555263043,14.7,-0.0626411766810173,0.0290365420587911,0
"X15",-0.00164293250701417,0.0166395976046689,0.561743036770763,10,-0.0556239927724696,0.0490756208999785,0
"X16",-0.00912258869035508,-0.0657458133555105,0.606850169596354,12.4,-0.0587007695699757,0.0340945508510248,0
"X17",-0.0072783740122264,-0.193050700088922,0.64064790588254,10.9,-0.05517797521914,0.0353804438536946,0
"X18",-0.0034511875176844,-0.0741904477063,0.725588905866089,11.2,-0.056838936946061,0.0532915348774382,0
"X19",0.0030201412334024,0.0766951840020548,0.574203079617729,7.6,-0.0448928423177135,0.0486453231813811,0
"X2",0.000833960308031473,0.0339551153409253,0.836990058444659,8.5,-0.0943796832230084,0.0948304963876806,0
"X20",-0.000541362624580506,-0.0367128336256827,0.568701203369566,10,-0.0537460133982316,0.0532267725112907,0
"X3",0.00206044603871526,0.0230129495373463,0.777872831485811,7.7,-0.103569551053266,0.113104086736267,0
"X4",-0.00165106069401044,0.0266058896557419,0.822060021435012,9.2,-0.101801984970431,0.0951569450509296,0
"X5",-0.00969708162131666,-0.233180217969345,0.764115523979799,12.4,-0.14432223302525,0.12327478811152,0
"X6",-0.0131176492342766,-0.093411992309931,0.859654109184597,13.1,-0.188590113136155,0.16369287446629,0
"X7",0.00144103949510568,0.0172197729694073,0.939620590680569,9.2,-0.302846342318668,0.323152838999577,0
"X8",-0.0148247541851515,-0.0276128782891352,0.936849967841861,13.4,-0.490873379861481,0.503323361127464,0
"X9",-0.0127671487583709,-0.38482193571279,0.532606419265886,11.8,-0.0558032143818867,0.0303468641270994,0
"X1",-0.000365148445872392,0.126094591405313,0.802132347541791,12.1,-0.132061008380865,0.103217654778887,0.5
"X10",-0.000928927712037868,-0.0548638794259702,0.797289254190184,11.7,-0.0635872847415087,0.0583241828321829,0.5
"X11",0.00217468650640701,0.166945984023941,0.673504111073738,11,-0.0498011029411463,0.0571770190029582,0.5
"X12",0.00581809038650527,0.144040725969965,0.708842430088248,9.5,-0.0434318764522808,0.0478345099462722,0.5
"X13",0.00145548143526455,0.0950088778616761,0.650485154309853,10.2,-0.054336876136978,0.0619272000887569,0.5
"X14",-0.00557145833646695,-0.0765629993706054,0.70895005586195,13.1,-0.053954425702042,0.0498254586450233,0.5
"X15",-0.000861545468479308,-0.0222013690943343,0.641544753329818,11.1,-0.0556819150077773,0.0510582214535415,0.5
"X16",-0.00181564790269414,-0.0282612129295478,0.736011980828905,11.9,-0.0531456050407735,0.0440730078357747,0.5
"X17",0.00575217543944228,0.110545706459098,0.781573151900979,9.7,-0.0414769483391195,0.0560645867559504,0.5
"X18",0.00935231249388096,0.18790275387819,0.558303611779171,8.5,-0.0483018204780799,0.0564969303524026,0.5
"X19",-0.00162114557159177,0.0318115975255551,0.732474284949613,11.6,-0.05805611944345,0.0535435311472063,0.5
"X2",0.00807126496694402,0.134317866257507,0.874580086499597,8.1,-0.0953922383062184,0.0974240782347732,0.5
"X20",-0.00179564008608794,-0.0497095225682514,0.805282740225036,11.7,-0.0602724129922523,0.0546590284974909,0.5
