"Features","Feature_Importance_Score","Test_Statistics","P.Value","Rank","LB","UB","snr"
"X1",0.00192208004649937,0.0424250707570264,0.808193813323319,9.2,-0.0795552536775119,0.0925621866454717,0.1
"X10",0.00557380567704646,0.20799148706783,0.733626149549519,9.2,-0.0518754856320138,0.0670070218575417,0.1
"X11",-0.00259710057971856,-0.0413531708509269,0.713841308324755,12.2,-0.0599783583996114,0.0531386598934479,0.1
"X12",-0.0135355088565512,-0.591187893130658,0.614785284455969,14.9,-0.0667867239059233,0.0344052475906937,0.1
"X13",0.0067770596252076,0.128253816069834,0.697436073396056,8.7,-0.0434863472461487,0.0617953139534643,0.1
"X14",-0.00616782082207523,-0.369707266922867,0.617394351774458,12.5,-0.0518003446803664,0.0438112890747711,0.1
"X15",0.00454992086102753,0.0782488635335885,0.729394190489575,10,-0.0446588853150843,0.0595740172777135,0.1
"X16",0.00621778007811272,0.117561982299118,0.812089790630849,8.6,-0.0527497968226116,0.0721990346498139,0.1
"X17",0.00105418472838028,0.0830353459940345,0.74181468437858,10.2,-0.0567356709431223,0.0610081776281426,0.1
"X18",-0.00165256382883879,0.0720085076830375,0.621467576880204,10.7,-0.0518396995289358,0.0516500201007368,0.1
"X19",0.00719547045569835,-0.0233114416571037,0.647807316880331,8.1,-0.0457417606265046,0.0516970629496459,0.1
"X2",0.00345776200417146,0.0440870952200373,0.771164504082916,10.4,-0.0761128262208831,0.0908297197812816,0.1
"X20",0.00226223609629087,-0.0251232805093134,0.704946639425145,11.3,-0.0554449391771173,0.0437300157496532,0.1
"X3",-0.00752662287025688,-0.0961525508907883,0.892417478707752,13.3,-0.198712706365827,0.17085197634234,0.1
"X4",0.00286907967276523,0.00655678662737699,0.870184388500022,10.2,-0.181504644611714,0.146335613746052,0.1
"X5",0.00796228039424162,0.0596322626195693,0.909427874504407,9,-0.168167861130412,0.180374287960765,0.1
"X6",0.0142260999156474,-0.00537668945730996,0.843717520122656,6.9,-0.204647370162186,0.276852570383731,0.1
"X7",-0.00901959948319703,-0.0426777255563567,0.948874797175853,13.6,-0.33398360680222,0.321435013838083,0.1
"X8",-0.000526934443455171,-0.0629035300790831,0.889747101039046,12.3,-0.216286492425319,0.248871883325342,0.1
"X9",0.00774901847558839,0.128249882239319,0.850980223430042,8.7,-0.0804254903605162,0.0926038038213386,0.1
"X1",-0.00726618294900678,-0.0383484526392924,0.797778168469297,13.5,-0.0902533738750094,0.0752459373963064,0.5
"X10",0.00969104822649287,0.123884311185124,0.631966768788402,8,-0.0607256060638438,0.0708068481156329,0.5
"X11",-0.000986931461764691,-0.0560805566799366,0.724431048362856,11.8,-0.0456102083742521,0.045277716647377,0.5
"X12",0.00318733883637345,-0.000167142511215296,0.523215905460909,10,-0.0385625370013429,0.043038666551076,0.5
"X13",9.5875814948388e-05,0.0141777305357403,0.731077931237044,10.3,-0.0420903107945408,0.0424250058626052,0.5
"X14",0.0068652587774378,0.203797655550802,0.62681946606883,8.7,-0.0417060978464969,0.0620465466675081,0.5
"X15",-0.00683168299125587,-0.190964426743609,0.79563653353559,13,-0.07043935017448,0.0561867422528959,0.5
"X16",0.006903221809957,0.120087300051683,0.72176883086473,8.2,-0.0605191073894427,0.0625336819784899,0.5
"X17",-0.000909822307749768,0.0318465964614935,0.796147601182308,11.5,-0.0524173621139118,0.0482430930784074,0.5
"X18",-0.00191328737140859,-0.0235233542309606,0.742775594327286,11.7,-0.0710267342726695,0.0484896159091735,0.5
"X19",-0.00537258349569461,-0.111664642544733,0.660492004235339,13.6,-0.060899727999732,0.0393979211276137,0.5
"X2",0.00148275089556966,0.0332603833831612,0.831194514132609,10.5,-0.0957348543756966,0.0868393527242045,0.5
"X20",-0.000700060129959767,-0.0127869282612412,0.843837424918089,11.5,-0.0557490769184527,0.0507689069733244,0.5
"X3",-0.0027925067055077,-0.054449222937487,0.879385795408885,12.3,-0.192972790313089,0.16433839312841,0.5
"X4",0.00923680438600745,0.0695637641122183,0.812617337749335,8.6,-0.169094399907388,0.149480396116078,0.5
"X5",0.0042019841667094,0.0196311444193591,0.888803162748533,8.7,-0.168904406651044,0.168029735992025,0.5
"X6",0.015206131825636,0.0767536134943178,0.922577598767702,6.5,-0.221034770880486,0.296701311367775,0.5
"X7",-0.00127674654305351,-0.0243435963096685,0.949755704081059,11.2,-0.328564447829695,0.33493761702347,0.5
"X8",0.00538362236542406,0.0436154072473276,0.888019878935308,9.1,-0.228873635617993,0.246752388066435,0.5
"X9",-0.00297863686430046,0.00413463776769397,0.817598024427876,11.3,-0.0869477875973976,0.0775772223692949,0.5
"X1",0.000960448077539103,0.0984976743848215,0.788465460186667,11.4,-0.0888955646629634,0.0959616194835966,0.75
"X10",0.0131079609335827,0.45778227603961,0.648649975317553,8.4,-0.0415986269499032,0.0706868501014756,0.75
"X11",0.0112862884870332,0.102302921690312,0.681158335852908,9.1,-0.0584564890854852,0.0689987092986448,0.75
"X12",0.00168584708636323,0.246014672756112,0.528225659381886,11.4,-0.0487810643452707,0.051585178277566,0.75
"X13",0.00823832332189037,0.155082998660394,0.71997797743051,10.4,-0.0479082272632097,0.0696933432461527,0.75
"X14",0.00428701450620603,0.0897148058972624,0.678844578271248,11.2,-0.0516639256566667,0.05989376764604,0.75
"X15",0.00357717723789634,0.160565467527904,0.704402426218484,12,-0.0543304494622067,0.0510636121840241,0.75
"X16",0.00597274263517003,0.203466457338743,0.697081188705052,11,-0.0442899995833528,0.0571406437500031,0.75
"X17",0.00673638321208704,0.277159712086987,0.62500476345709,10.7,-0.0472805678394237,0.0658790333212692,0.75
"X18",0.00453360645683558,0.100549506843641,0.739070067770503,10.2,-0.0530996251314876,0.0612172618248686,0.75
"X19",0.0121279572304557,0.303007070014265,0.692478445890586,8.4,-0.0511548816772733,0.0668534833638886,0.75
"X2",0.00497192079750581,0.0856662541904229,0.825508064103749,11.5,-0.0798571160785138,0.0990100225747299,0.75
"X20",0.00228149340116113,0.152035009953316,0.761862955201199,11.7,-0.0655710378412554,0.0606374452363751,0.75
"X3",0.00605180070953566,0.0326724637026719,0.827396066146536,9.9,-0.177108776603359,0.178603136058628,0.75
"X4",0.00244852465116291,0.00747924319422934,0.881873995446554,10.3,-0.177899958284928,0.152433913498877,0.75
"X5",0.00499133569162599,0.0243754966691188,0.898130764969474,10.3,-0.177847158462767,0.193537116439324,0.75
