"Features","Feature_Importance_Score","Test_Statistics","P.Value","Rank","LB","UB"
"X1",0.117716044138427,1.02809334823951,0.439251811354891,1.1,-0.0542549968892196,0.290084849258564
"X10",0.00170708119183873,-0.153038724627256,0.670518631983293,10.7,-0.0367428689685796,0.037415288764563
"X11",0.00507648326295151,0.342800037532723,0.634987387227911,10.8,-0.0308541905241315,0.0391299712097185
"X12",0.00678221679472874,0.235617862783706,0.703463989103518,8.8,-0.041098882043357,0.0475391036738029
"X13",-0.00416838185537894,-0.0403260942731663,0.677516894277263,14,-0.0489648136509068,0.0338802919289135
"X14",0.00317979674857933,0.218761495513993,0.518611976843685,11.2,-0.0354072818330365,0.0422072502999368
"X15",-0.00577261487393805,-0.25770889367236,0.718485008757177,14.4,-0.0428629703040062,0.0341224593951357
"X16",0.00515234301850853,0.166653539862503,0.619047170254095,11.5,-0.033856939541866,0.0419755853234743
"X17",0.00046455460304369,-0.109679201901881,0.630688644058073,11,-0.0396340768827277,0.0378569708971186
"X18",0.00140818736646199,0.379570242143667,0.66855027099852,11.7,-0.0469714301195484,0.0484013350642106
"X19",0.00139164766934254,0.0387365499040174,0.798826643593695,11,-0.0437019302153818,0.0424478840820375
"X2",0.00833597799666462,0.351278141579254,0.662423445020936,8.7,-0.0343963553242084,0.0453440821890497
"X20",0.0021939332208734,0.198254334553825,0.589262493458315,11.6,-0.0445932268068156,0.0439901999485988
"X3",0.00772466533101489,0.153687221541585,0.643339275783,8.8,-0.0456597697936702,0.0516974319736968
"X4",0.00591519637983912,0.119957828042933,0.66127870160891,9.2,-0.0440177844981331,0.0486021234634372
"X5",-0.0061479158686285,-0.231690429605357,0.612199003625395,13.5,-0.04804370830458,0.0368460540354313
"X6",0.010810885086877,0.273728578942157,0.732899048262269,8.1,-0.0428297508487235,0.061084500532105
"X7",-0.025473042503126,-0.0735743326424059,0.918139727043946,15.2,-0.4926464324885,0.488447941049986
"X8",0.00484517686153652,0.0111133109402755,0.801592891272184,10.3,-0.06840081331478,0.0968310276945103
"X9",0.00953405342260863,0.334979400074341,0.575388555787556,8.4,-0.0336180118990481,0.0464064713419151
