"Features","Feature_Importance_Score","Test_Statistics","P.Value","Rank","LB","UB"
"X1",0.0176205335235546,0.328473751097017,0.360292890792173,8.6,-0.0921811135384903,0.1274221805856
"X10",-0.0974402451137826,-1.90506833667572,0.104297067751187,14.7,-0.196520336897348,0.0016398466697823
"X11",-0.0920872067620892,-1.8042324992884,0.131354471035018,14.8,-0.191478276844799,0.0073038633206211
"X12",-0.0841275981253229,-1.68785890813694,0.171377292381507,13.8,-0.1828806843456,0.0146254880949542
"X13",-0.116708394758326,-2.30913557656939,0.109757415543953,16.2,-0.215599826745073,-0.0178169627715786
"X14",-0.0740921367193568,-1.49406538299235,0.24919672032926,13.2,-0.17150813512109,0.0233238616823765
"X15",-0.0732811214280237,-1.49055041482042,0.317763515152182,12.6,-0.17511459416036,0.0285523513043126
"X16",-0.0886180246949348,-1.74437137565586,0.173561012192911,13.8,-0.187258802919959,0.0100227535300895
"X17",-0.103425299328403,-2.04881845901454,0.06501470299076,15.3,-0.202767668973927,-0.00408292968287909
"X18",-0.0974456056933481,-1.85088114657653,0.121218537381344,15.5,-0.198950190517011,0.00405897913031527
"X19",-0.0852814879745214,-1.72972963274165,0.261192181997594,13.4,-0.182219469066869,0.0116564931178265
"X2",0.0711924497352646,1.01865533226028,0.298804742661241,7.3,-0.0555741708674487,0.197959070337978
"X20",-0.0894859303317816,-1.81900582495736,0.135883209917448,13.7,-0.184235182854166,0.00526332219060232
"X3",0.199138312714755,2.73266775887635,0.0428413434668545,5.3,0.0568948901530696,0.341381735276441
"X4",0.222088648098665,3.08898324136136,0.0150855876944232,4.9,0.0824929751091887,0.36168432108814
"X5",0.232123048624734,3.26824242730553,0.0134657539670198,4.9,0.0923830890151386,0.37186300823433
"X6",0.669612384850587,6.02422373455512,5.30970302662477e-07,3,0.453542707394953,0.885682062306221
"X7",1.94159430170373,9.61114520687913,2.49478019909717e-19,2,1.54490389624323,2.33828470716424
"X8",3.20014616049752,11.3791007248731,2.7807861758208e-25,1,2.64984630045821,3.75044602053684
"X9",-0.10424482433284,-2.07182991331998,0.147628630717515,16,-0.202246147851583,-0.00624350081409656
