"Features","Feature_Importance_Score","Test_Statistics","P.Value","Rank","LB","UB","Correlation"
"X1",0.0176205335235546,0.328473751097017,0.360292890792173,8.6,-0.0921811135384903,0.1274221805856,0
"X10",-0.0974402451137826,-1.90506833667572,0.104297067751187,14.7,-0.196520336897348,0.0016398466697823,0
"X11",-0.0920872067620892,-1.8042324992884,0.131354471035018,14.8,-0.191478276844799,0.0073038633206211,0
"X12",-0.0841275981253229,-1.68785890813694,0.171377292381507,13.8,-0.1828806843456,0.0146254880949542,0
"X13",-0.116708394758326,-2.30913557656939,0.109757415543953,16.2,-0.215599826745073,-0.0178169627715786,0
"X14",-0.0740921367193568,-1.49406538299235,0.24919672032926,13.2,-0.17150813512109,0.0233238616823765,0
"X15",-0.0732811214280237,-1.49055041482042,0.317763515152182,12.6,-0.17511459416036,0.0285523513043126,0
"X16",-0.0886180246949348,-1.74437137565586,0.173561012192911,13.8,-0.187258802919959,0.0100227535300895,0
"X17",-0.103425299328403,-2.04881845901454,0.06501470299076,15.3,-0.202767668973927,-0.00408292968287909,0
"X18",-0.0974456056933481,-1.85088114657653,0.121218537381344,15.5,-0.198950190517011,0.00405897913031527,0
"X19",-0.0852814879745214,-1.72972963274165,0.261192181997594,13.4,-0.182219469066869,0.0116564931178265,0
"X2",0.0711924497352646,1.01865533226028,0.298804742661241,7.3,-0.0555741708674487,0.197959070337978,0
"X20",-0.0894859303317816,-1.81900582495736,0.135883209917448,13.7,-0.184235182854166,0.00526332219060232,0
"X3",0.199138312714755,2.73266775887635,0.0428413434668545,5.3,0.0568948901530696,0.341381735276441,0
"X4",0.222088648098665,3.08898324136136,0.0150855876944232,4.9,0.0824929751091887,0.36168432108814,0
"X5",0.232123048624734,3.26824242730553,0.0134657539670198,4.9,0.0923830890151386,0.37186300823433,0
"X6",0.669612384850587,6.02422373455512,5.30970302662477e-07,3,0.453542707394953,0.885682062306221,0
"X7",1.94159430170373,9.61114520687913,2.49478019909717e-19,2,1.54490389624323,2.33828470716424,0
"X8",3.20014616049752,11.3791007248731,2.7807861758208e-25,1,2.64984630045821,3.75044602053684,0
"X9",-0.10424482433284,-2.07182991331998,0.147628630717515,16,-0.202246147851583,-0.00624350081409656,0
"X1",0.0791063637842624,1.26750463328254,0.203430108664593,7.6,-0.0491158053757971,0.207328532944322,0.5
"X10",-0.0789278322953042,-1.4366612915533,0.299104945456531,14.1,-0.179838226949122,0.0219825623585137,0.5
"X11",-0.0939277421831465,-1.70116013180832,0.210531950271394,15.6,-0.20032397322486,0.0124684888585666,0.5
"X12",-0.0879659436950394,-1.62337258078391,0.216043140149067,15.5,-0.189658716663614,0.0137268292735349,0.5
"X13",-0.0805251545031405,-1.59624564222037,0.252082548084861,14.7,-0.177962009356693,0.0169117003504121,0.5
"X14",-0.0973869262891123,-1.87905652280992,0.1661715393991,16.1,-0.197370473214881,0.00259662063665658,0.5
"X15",-0.0774545048785655,-1.47854837614945,0.197494336993454,13.9,-0.177277746238724,0.022368736481593,0.5
"X16",-0.079299481528514,-1.47811449861905,0.241505915219884,13.8,-0.18344358254289,0.0248446194858621,0.5
"X17",-0.0704538780852717,-1.38384593019348,0.197107257502322,13.4,-0.171276030760768,0.0303682745902251,0.5
"X18",-0.0784975279056273,-1.52474212824462,0.172153324019668,14.2,-0.177466810323331,0.0204717545120764,0.5
"X19",-0.0720008883421066,-1.35733371117685,0.407673955137214,14.1,-0.170883481725935,0.0268817050417215,0.5
"X2",0.121688172765662,1.7430905897683,0.169091741928825,6.7,-0.0186010468452738,0.261977392376597,0.5
"X20",-0.0925046667353559,-1.66754687342123,0.276110551941813,14.9,-0.195274119108851,0.0102647856381395,0.5
"X3",0.178261762256974,2.45797104994781,0.0553796844554272,5.5,0.037748048651345,0.318775475862604,0.5
"X4",0.227162445164531,3.13334132953532,0.0169141649062286,4.9,0.0842680342097573,0.370056856119304,0.5
"X5",0.225982194295225,3.1126721805535,0.021467711679797,5.3,0.0849185848969634,0.367045803693487,0.5
"X6",0.789963007857356,6.69473841336479,5.30067225896272e-08,3,0.558412562358956,1.02151345335576,0.5
"X7",1.62835014350256,9.06760539627006,4.95584840465822e-18,2,1.27588823446502,1.98081205254011,0.5
"X8",3.16739395763604,11.2734052618205,1.71179318997177e-27,1,2.61708139672588,3.71770651854619,0.5
"X9",-0.0712143556597105,-1.31402334192044,0.327523646782017,13.7,-0.175513801564057,0.0330850902446361,0.5
"X1",0.0605135147749678,0.911494099258581,0.394551328278464,7.3,-0.0738561611258547,0.19488319067579,0.75
"X10",-0.116027725113179,-2.27175737288652,0.120343907744894,15.2,-0.217825171941541,-0.0142302782848171,0.75
"X11",-0.0854342552160881,-1.57499291439856,0.233722797252004,13.2,-0.191889166351692,0.0210206559195157,0.75
"X12",-0.105449963883162,-1.93434149891795,0.18583554636367,13.9,-0.211384648576907,0.000484720810582621,0.75
"X13",-0.12006149661477,-2.20526311234113,0.155766463527563,16.1,-0.225079844518984,-0.0150431487105565,0.75
"X14",-0.0994755655911996,-1.84073895054712,0.155893511023055,14,-0.205823415690344,0.00687228450794518,0.75
"X15",-0.125098901382988,-2.23037737180238,0.10655646626347,16.9,-0.234782025516202,-0.0154157772497736,0.75
"X16",-0.0943078883504975,-1.78580020196377,0.17304749991835,13.8,-0.199160478753812,0.0105447020528171,0.75
"X17",-0.0900168706578829,-1.75600352688987,0.191261656391505,14,-0.196630557612743,0.0165968162969768,0.75
"X18",-0.103607645187204,-1.93136047575966,0.166520006447616,14.4,-0.209419260624695,0.00220397025028807,0.75
"X19",-0.0994856614090173,-1.92337896453404,0.204389499057919,13.5,-0.201280741257316,0.00230941843928174,0.75
"X2",0.0445109335330943,0.632746833096961,0.45881511312877,7.8,-0.0959584009009574,0.184980267967146,0.75
"X20",-0.111425504593169,-2.01937237019946,0.187586944006639,14.3,-0.218821091412937,-0.00402991777340142,0.75
"X3",0.148038717417209,2.03384643823893,0.0891877058946953,5.5,0.0104371799764758,0.285640254857941,0.75
"X4",0.189506211298225,2.64130668354709,0.0657414805458187,4.7,0.0481270284569607,0.330885394139489,0.75
"X5",0.207071573579798,2.81753292945127,0.00927007659903166,4.8,0.0649043196723565,0.349238827487239,0.75
"X6",0.784623375176911,6.83647301925168,1.45893011547163e-09,3,0.559546612838664,1.00970013751516,0.75
"X7",1.60944758266474,9.15174663268304,1.31477248903154e-16,2,1.26362573329383,1.95526943203565,0.75
"X8",3.18389919778647,11.355849794383,4.46737975722896e-27,1,2.63397191556888,3.73382648000407,0.75
"X9",-0.1052905690947,-1.98821367132624,0.200380123380193,14.6,-0.210038495550687,-0.000542642638713611,0.75
"X1",0.0165779848290367,0.25853599645486,0.558956505582795,7.6,-0.122575941021596,0.155731910679669,0.9
"X10",-0.122627891635455,-2.27428158729732,0.0636712465461858,15.6,-0.22696580458928,-0.0182899786816303,0.9
"X11",-0.102502526751589,-1.94351123927331,0.162307721879253,13.7,-0.206724443568224,0.00171939006504691,0.9
"X12",-0.136778646375018,-2.54144337665017,0.0633475040414945,16.2,-0.244250844202791,-0.0293064485472449,0.9
"X13",-0.108474005838669,-2.08931654873337,0.137684065039893,14.1,-0.209555270812894,-0.00739274086444363,0.9
"X14",-0.102065142859388,-1.94927497916334,0.185380145130139,13.8,-0.202703412937577,-0.00142687278119878,0.9
"X15",-0.110363483015993,-2.13732334985602,0.0641246261498292,13.9,-0.212618118702395,-0.00810884732959218,0.9
"X16",-0.106417033302653,-2.03194042155895,0.0857065673047951,12.9,-0.209440648287441,-0.00339341831786455,0.9
"X17",-0.108843332489507,-1.99340925070897,0.107742846756296,14,-0.217555127010047,-0.000131537968966738,0.9
"X18",-0.119026795936656,-2.35173598426147,0.0701757235401889,15.6,-0.221405048152167,-0.0166485437211456,0.9
"X19",-0.121357647203847,-2.35491765657109,0.0430694445055371,14.7,-0.221548861774941,-0.0211664326327531,0.9
"X2",0.00769991844807163,0.140639756546507,0.538665306463582,7.8,-0.129802017668942,0.145201854565085,0.9
"X20",-0.114024141140632,-2.19673659126447,0.0736302572909057,13.7,-0.216379663852399,-0.0116686184288645,0.9
"X3",0.152637994029527,2.12358400338517,0.12641607392585,5.2,0.0152946913985014,0.289981296660553,0.9
"X4",0.166526008182677,2.35787262807269,0.0447734572935406,5.2,0.0296418870170452,0.303410129348309,0.9
"X5",0.186292164858786,2.52837017877605,0.049022348190006,4.6,0.0421528085735378,0.330431521144035,0.9
"X6",0.758173834604927,6.70390241947764,4.17842270946026e-09,3,0.536081860763043,0.980265808446812,0.9
"X7",1.57651097835033,9.1384183449326,4.05831224180025e-18,2,1.23767429145066,1.91534766525,0.9
"X8",3.14895346539804,11.306843362392,1.25036396294645e-25,1,2.6034724601305,3.69443447066559,0.9
"X9",-0.127057224022182,-2.45370332673032,0.0294638735046592,15.4,-0.229915442529467,-0.0241990055148966,0.9
