"Features","Feature_Importance_Score","Test_Statistics","P.Value","Rank","LB","UB","snr"
"X1",0.152367842942759,0.144023392797975,0.885527618653652,7.6,-1.95986747751462,2.26460316340013,0.1
"X10",-0.0633114865095927,-0.0676858599371687,0.946078199085846,16.3,-1.99870046293976,1.87207748992058,0.1
"X11",-0.0620847764047835,-0.0584545389172089,0.953426246259561,15.1,-2.12877243648879,2.00460288367922,0.1
"X12",-0.0386529981593154,-0.0431050368397435,0.954347574658386,13.7,-1.86610778592693,1.7888017896083,0.1
"X13",-0.0504507589900838,-0.0534718934828529,0.949679108654937,14.9,-1.94308377840018,1.84218226042001,0.1
"X14",-0.0402784770846907,-0.0456825397864522,0.951812190003249,14.2,-1.93031221204538,1.849755257876,0.1
"X15",-0.055831861091864,-0.0606073402527062,0.947202389296923,15.8,-1.96207727622258,1.85041355403885,0.1
"X16",-0.0299876505236901,-0.0344069957522623,0.958821989185797,12.8,-1.88179160674815,1.82181630570077,0.1
"X17",-0.0350423199710023,-0.0324415660174987,0.961336456848549,13.6,-2.05606463586871,1.98597999592671,0.1
"X18",-0.0457101265626878,-0.0470010527353052,0.948414645803736,14.5,-1.89118690404066,1.79976665091528,0.1
"X19",-0.033255937928523,-0.0382464343831877,0.965608179504616,13.5,-1.91989773012039,1.85338585426335,0.1
"X2",0.240150030784865,0.184431337040575,0.853795071806385,6.3,-2.30982733172556,2.79012739329529,0.1
"X20",-0.0550787837775139,-0.0593026112225083,0.952753896420709,15.4,-1.86627554040083,1.7561179728458,0.1
"X3",0.329357215160576,0.219870827980309,0.826165473663089,4.5,-2.59514846561342,3.25386289593457,0.1
"X4",0.2498330380754,0.152496468474979,0.87882680719644,5.5,-2.98142768411415,3.48109376026495,0.1
"X5",0.212625979383145,0.111124624797872,0.911563466592193,6.1,-3.56511189954904,3.99036385831533,0.1
"X6",0.540793965828419,0.227078931995496,0.820460898875193,3,-4.17049757264685,5.25208550430369,0.1
"X7",1.05995069956061,0.35398918958654,0.72344315217156,1.9,-4.83812220205207,6.9580236011733,0.1
"X8",1.38202416941528,0.492021200450653,0.622809621287312,1.1,-4.14688921989736,6.91093755872792,0.1
"X9",-0.0354075471673413,-0.0372065475476744,0.957289299819495,14.2,-2.10127568972558,2.0304605953909,0.1
"X1",0.159562084886213,0.141050262125955,0.887873870634931,7.4,-2.1091393408056,2.42826351057802,0.5
"X10",-0.0345090290010664,-0.0375503835200324,0.958144510834555,13.8,-1.94709831654951,1.87808025854738,0.5
"X11",-0.041503588998852,-0.0439694609815321,0.957195838990802,14.3,-1.8573179073293,1.7743107293316,0.5
"X12",-0.0295628410564084,-0.0305726420061739,0.961759202833909,13.8,-1.8957605490042,1.83663486689139,0.5
"X13",-0.0294338584018391,-0.0315182232776738,0.973293122626172,13.4,-1.92063113385083,1.86176341704715,0.5
"X14",-0.0358764994745949,-0.0385473286482621,0.967658523219581,14.3,-1.92437497840493,1.85262197945574,0.5
"X15",-0.0358712615510372,-0.0377528192291926,0.962054353794691,14.7,-1.86934106640084,1.79759854329877,0.5
"X16",-0.0543523636726589,-0.0549313160026542,0.953311937845052,16.7,-1.97019187835292,1.86148715100761,0.5
"X17",-0.0283978320200552,-0.0314070248265443,0.963644014147985,14.1,-1.89903777892162,1.84224211488151,0.5
"X18",-0.0283352940177286,-0.0314775840506671,0.960574500854056,13.4,-1.87010775045292,1.81343716241747,0.5
"X19",-0.0487489818490786,-0.048927737043319,0.960383868537087,15.6,-1.9995692221718,1.90207125847364,0.5
"X2",0.231533506288535,0.189820751728782,0.849634833317599,6.4,-2.16822393229358,2.63129094487065,0.5
"X20",-0.0447988847366586,-0.0437288527212313,0.963803632611539,15,-2.02638285406791,1.9367850845946,0.5
"X3",0.32989196588879,0.215372703629703,0.829616241254996,4.4,-2.70693426693029,3.36671819870787,0.5
"X4",0.260367755967784,0.159768785722937,0.873150798926932,5.6,-2.91389730788093,3.43463281981649,0.5
"X5",0.221053108371364,0.120573855692791,0.904100392439907,6.2,-3.40388082703351,3.84598704377624,0.5
"X6",0.525306109458479,0.225333160780246,0.821793276225559,3,-4.06480302302258,5.11541524193954,0.5
"X7",1.06373662504221,0.357886271755968,0.72052789409402,1.9,-4.78570928874169,6.9131825388261,0.5
"X8",1.40994468015585,0.496392737415791,0.619729772632646,1.1,-4.16688330876168,6.98677266907337,0.5
"X9",-0.0427616502478363,-0.039219463149879,0.957676704227724,14.9,-2.16418367699107,2.0786603764954,0.5
"X1",0.154931489869938,0.133171597928689,0.894169452223142,7.2,-2.10009284378002,2.40995582351989,0.75
"X10",-0.0283252960338448,-0.031379386436308,0.959084053767553,13.2,-2.23066878935806,2.17401819729037,0.75
"X11",-0.0403519417337457,-0.0423191633514458,0.959727806367462,14.7,-2.01905246262315,1.93834857915566,0.75
"X12",-0.0462521752380565,-0.0486041939990006,0.948964305813547,15.2,-1.96201806335135,1.86951371287524,0.75
"X13",-0.0342756235626857,-0.0379671627191994,0.951155124469688,13.8,-2.07315542059155,2.00460417346617,0.75
"X14",-0.033774889069289,-0.0331146633634939,0.95728536732301,14.8,-2.03212933136333,1.96457955322475,0.75
"X15",-0.0452062081787098,-0.0465402479812081,0.956046184027127,15.5,-1.90733104829051,1.8169186319331,0.75
"X16",-0.0339220943241539,-0.0281364713320253,0.966369321065459,14.2,-2.13834940019389,2.07050521154558,0.75
"X17",-0.034726665706356,-0.0374254311744169,0.956429436467737,13.6,-1.91551701882633,1.84606368741362,0.75
"X18",-0.051613307211326,-0.0540609087489229,0.942538957920314,16.1,-2.08602214395457,1.98279552953192,0.75
