"Features","Feature_Importance_Score","Test_Statistics","P.Value","Rank","LB","UB"
"X1",0.0176205335235546,0.0146897927255455,0.964054956511231,8.6,-2.43761893519817,2.47286000224528
"X10",-0.0974402451137826,-0.0851972460517872,0.932136698183622,14.7,-2.31293844956348,2.11805795933591
"X11",-0.0920872067620892,-0.0806877303124641,0.932883262286608,14.8,-2.31453909737595,2.13036468385177
"X12",-0.0841275981253229,-0.0754833451004556,0.934583750830928,13.8,-2.2923137358897,2.12405853963905
"X13",-0.116708394758326,-0.103267682369446,0.917837144602893,16.2,-2.32798803790496,2.09457124838831
"X14",-0.0740921367193568,-0.066816635184003,0.945588192692083,13.2,-2.25238008194222,2.10419580850351
"X15",-0.0732811214280237,-0.0666594410285794,0.946920617654746,12.6,-2.35034679557178,2.20378455271573
"X16",-0.0886180246949348,-0.0780106594794264,0.937871349653714,13.8,-2.29429287934129,2.11705682995142
"X17",-0.103425299328403,-0.0916259469582575,0.927018395162878,15.3,-2.32478821506144,2.11793761640463
"X18",-0.0974456056933481,-0.0827739212403573,0.934060544460558,15.5,-2.3671571226294,2.1722659112427
"X19",-0.0852814879745214,-0.0773558608301213,0.937375243797518,13.4,-2.25288064121531,2.08231766526627
"X2",0.0711924497352646,0.0455556513715324,0.954970901470706,7.3,-2.76339535972066,2.90578025919119
"X20",-0.0894859303317816,-0.0813484135214547,0.935199554692856,13.7,-2.20814362490522,2.02917176424166
"X3",0.199138312714755,0.122208617375391,0.902814714387637,5.3,-2.98152130928681,3.37979793471632
"X4",0.222088648098665,0.138143530180833,0.890204957245258,4.9,-2.89936549359433,3.34354278979166
"X5",0.232123048624734,0.146160244688082,0.883884358887248,4.9,-2.89255743997658,3.35680353722605
"X6",0.669612384850587,0.269411475642658,0.787766249924309,3,-4.16185248182193,5.5010772515231
"X7",1.94159430170373,0.42982348048406,0.667441441573886,2,-6.92867282461269,10.8118614280202
"X8",3.20014616049752,0.508888854872669,0.611065940079321,1,-9.10493279006779,15.5052251110628
"X9",-0.10424482433284,-0.0926550504800192,0.925838952844697,16,-2.29562103706143,2.08713138839575
