"Features","Feature_Importance_Score","Test_Statistics","P.Value","Rank","LB","UB"
"X1",0.205402670754178,0.142335210990329,0.799805417229248,7.6,-0.333716655128092,0.741392846229183
"X10",-0.526578590337733,-0.631852500730868,0.570012705313457,14.5,-0.953141113323296,-0.0759578168043749
"X11",-0.544449975396024,-0.63523655796905,0.564256570433444,15,-0.926395846984309,-0.137817757311804
"X12",-0.551529175496161,-0.602859317641949,0.589345539470165,15.2,-0.93277278680185,-0.126548584335821
"X13",-0.514308724409924,-0.536432265583879,0.607667641329366,14.1,-0.928473567157685,-0.116626544471374
"X14",-0.537340094106918,-0.662739510327047,0.585405546346037,14.3,-0.933174302441982,-0.143372691270567
"X15",-0.504528918545176,-0.534098726380527,0.629889321507396,14.3,-0.91347894794296,-0.0408500944418856
"X16",-0.470864596936732,-0.499941074620297,0.632615749582602,12.9,-0.818267229007431,-0.142973952388031
"X17",-0.530985174108922,-0.515275480512409,0.614186367175526,14.4,-0.988745831459698,-0.0242052935986684
"X18",-0.477183947549169,-0.542663174147434,0.618525791928058,13.5,-0.844116975318778,-0.168894888640704
"X19",-0.528122226861933,-0.581811971673507,0.584917657974067,14.7,-0.922324878246677,-0.167025610660716
"X2",0.212114437924924,0.257431911215784,0.754637082626119,7.5,-0.465798637230838,0.843524735760349
"X20",-0.527752006653673,-0.584144768156052,0.588061565113454,15.2,-0.95335495554404,-0.146443889303862
"X3",1.1214774649022,1.33047690341712,0.323260878420824,5.2,0.228657067020299,1.83627575929291
"X4",1.17723210018563,1.49928409939574,0.352288498648542,5,0.307164389746237,1.92635577283744
"X5",1.21772082836745,1.34641778890562,0.312270326093444,4.8,0.458572187130361,1.9153084223332
"X6",3.96931368642862,4.63339039999195,0.0155649849249686,3,2.68483671737771,5.15945896353693
"X7",11.3227817324093,12.4442611912154,2.48980042010278e-07,2,8.61168894218589,13.9734889993319
"X8",18.8989235936937,22.4877352945963,7.00451090169505e-11,1,15.4569590399047,22.8404521425279
"X9",-0.581915702002031,-0.63396213311382,0.565592222254541,15.8,-0.964207503602318,-0.174086995320103
