"Features","Feature_Importance_Score","Test_Statistics","P.Value","Rank","LB","UB","Correlation"
"X1",0.205402670754178,0.142335210990329,0.799805417229248,7.6,-0.333716655128092,0.741392846229183,0
"X10",-0.526578590337733,-0.631852500730868,0.570012705313457,14.5,-0.953141113323296,-0.0759578168043749,0
"X11",-0.544449975396024,-0.63523655796905,0.564256570433444,15,-0.926395846984309,-0.137817757311804,0
"X12",-0.551529175496161,-0.602859317641949,0.589345539470165,15.2,-0.93277278680185,-0.126548584335821,0
"X13",-0.514308724409924,-0.536432265583879,0.607667641329366,14.1,-0.928473567157685,-0.116626544471374,0
"X14",-0.537340094106918,-0.662739510327047,0.585405546346037,14.3,-0.933174302441982,-0.143372691270567,0
"X15",-0.504528918545176,-0.534098726380527,0.629889321507396,14.3,-0.91347894794296,-0.0408500944418856,0
"X16",-0.470864596936732,-0.499941074620297,0.632615749582602,12.9,-0.818267229007431,-0.142973952388031,0
"X17",-0.530985174108922,-0.515275480512409,0.614186367175526,14.4,-0.988745831459698,-0.0242052935986684,0
"X18",-0.477183947549169,-0.542663174147434,0.618525791928058,13.5,-0.844116975318778,-0.168894888640704,0
"X19",-0.528122226861933,-0.581811971673507,0.584917657974067,14.7,-0.922324878246677,-0.167025610660716,0
"X2",0.212114437924924,0.257431911215784,0.754637082626119,7.5,-0.465798637230838,0.843524735760349,0
"X20",-0.527752006653673,-0.584144768156052,0.588061565113454,15.2,-0.95335495554404,-0.146443889303862,0
"X3",1.1214774649022,1.33047690341712,0.323260878420824,5.2,0.228657067020299,1.83627575929291,0
"X4",1.17723210018563,1.49928409939574,0.352288498648542,5,0.307164389746237,1.92635577283744,0
"X5",1.21772082836745,1.34641778890562,0.312270326093444,4.8,0.458572187130361,1.9153084223332,0
"X6",3.96931368642862,4.63339039999195,0.0155649849249686,3,2.68483671737771,5.15945896353693,0
"X7",11.3227817324093,12.4442611912154,2.48980042010278e-07,2,8.61168894218589,13.9734889993319,0
"X8",18.8989235936937,22.4877352945963,7.00451090169505e-11,1,15.4569590399047,22.8404521425279,0
"X9",-0.581915702002031,-0.63396213311382,0.565592222254541,15.8,-0.964207503602318,-0.174086995320103,0
"X1",0.647531631392977,0.625262238206958,0.542360896604695,7,-0.037846467269988,1.34059618480292,0.5
"X10",-0.550621030262611,-0.496453471245776,0.62367255513193,16.3,-1.08503636205295,-0.0707317158094575,0.5
"X11",-0.498884638953461,-0.459370861031159,0.650445044738479,14.4,-0.885182732929747,-0.187290817776363,0.5
"X12",-0.472062318719067,-0.425187762979617,0.679116360722995,13.8,-0.91699889753834,0.0910205602350986,0.5
"X13",-0.507403746831868,-0.461208363724509,0.64914484100567,13.8,-0.891119853123349,-0.0947639474515946,0.5
"X14",-0.568540120662296,-0.508941000021985,0.61746125911279,16.3,-1.09918336813439,-0.0795890742121741,0.5
"X15",-0.572554706894892,-0.514495584062312,0.619915033757778,16.3,-1.0282624743544,-0.105775144075035,0.5
"X16",-0.567495670021249,-0.503266288315422,0.617265963413903,15.1,-0.966715927111939,-0.109198559828142,0.5
"X17",-0.451369866554008,-0.424988135625575,0.682400511455227,12.6,-0.817660108001073,-0.0857444102500746,0.5
"X18",-0.45231240965926,-0.398836243786681,0.693051040696556,11.9,-0.876433595843437,-0.0729866988754086,0.5
"X19",-0.482374477336265,-0.446275666947307,0.660953350493766,13.3,-0.871180768110271,-0.0634787241111797,0.5
"X2",0.567635672447043,0.548710337036201,0.603148135448154,7.2,-0.403600570572376,1.35622116936752,0.5
"X20",-0.529457223652687,-0.475522894214601,0.639846650530589,14.4,-0.96212306945135,-0.152905925902476,0.5
"X3",0.855233859112121,0.816245377465393,0.440408587095763,5.8,0.075793747929748,1.66831909597688,0.5
"X4",1.15870906568699,1.15077900251665,0.312758982119046,5.1,0.136746245436774,1.88069831152467,0.5
"X5",1.22223600778259,1.22938190332741,0.306389272500935,4.9,0.269328120797712,2.11420167262214,0.5
"X6",4.66581878983521,4.28981603504943,0.00194186494334906,3,3.18511657053521,5.95255633167929,0.5
"X7",9.4063404192682,8.54660401028139,1.76350320263669e-08,2,7.55005294253672,11.2744279102724,0.5
"X8",18.6282054558973,18.0463484160129,2.47899977149262e-21,1,14.4975379428146,22.6335376632799,0.5
"X9",-0.580106274867966,-0.497337052929405,0.620940891019717,15.8,-0.987738185950637,-0.162452019067587,0.5
"X1",0.653203769512589,0.620559151976818,0.559513425182988,7.3,-0.227899605066409,1.35174504707887,0.75
"X10",-0.491581883139868,-0.484989527952539,0.636656972115583,15.9,-0.853398144992438,-0.119633506079005,0.75
"X11",-0.473912618855252,-0.441339957370249,0.666709059453642,15.3,-0.837248788561894,-0.0296400120760642,0.75
"X12",-0.46472048222216,-0.422865814082777,0.678925125327743,15.1,-0.90210414939462,-0.0429343799211812,0.75
"X13",-0.454326736605365,-0.437089290146154,0.666547666703443,15,-0.881370802416707,-0.0487322054059943,0.75
"X14",-0.450104505064032,-0.406460294628976,0.692172023887272,14.9,-0.957919368297389,-0.00558371746483161,0.75
"X15",-0.461222685443261,-0.431957262945139,0.670220487594534,15,-0.890575966087087,-0.0584847746632092,0.75
"X16",-0.447261545516508,-0.422929251820039,0.681660066969952,14.5,-0.893480555743057,-0.0477700048761147,0.75
"X17",-0.404784184871607,-0.387313570139747,0.705433907215644,13.1,-0.736700258696085,-0.0168290799471734,0.75
"X18",-0.473348737907236,-0.425648907925135,0.672589862910139,15.1,-0.935765823704129,0.00468354008656563,0.75
"X19",-0.445987766253747,-0.412856594242104,0.682913684869446,14.3,-0.934224799275785,0.0754905012083581,0.75
"X2",0.619466558002812,0.572464793553735,0.585424208577373,7,-0.219197875318603,1.45300073720598,0.75
"X20",-0.375119106670899,-0.349107682607431,0.730450394069647,12.3,-0.710431478803563,0.0259936034643459,0.75
"X3",0.929091232891694,0.857469845289103,0.416321669868294,5.8,0.297574943241405,1.60934040145157,0.75
"X4",1.17824581290007,1.12445948124838,0.314065069861208,5,0.237895364268799,1.88509673653576,0.75
"X5",1.21123424812324,1.16723647118252,0.301695500031862,4.9,0.311267631013458,1.99808699507278,0.75
"X6",4.75956543133222,4.24342311674956,0.00181997255166442,3,3.28201645905168,5.99713969365702,0.75
"X7",9.39994830490444,8.38516455877438,2.15990060773401e-09,2,7.70464730163399,11.1274593050363,0.75
"X8",18.735407153136,17.8869754840176,3.13812810268525e-21,1,14.782966126015,22.6293466478896,0.75
"X9",-0.420012574630957,-0.405921355782711,0.692190830617853,13.5,-0.809021064510832,-0.0443455848481693,0.75
"X1",0.432821662264288,0.382229197884108,0.705448943805319,7.3,-0.501462320574194,1.22333129494884,0.9
"X10",-0.494076413495548,-0.466570074358006,0.646999553343388,15,-1.01153562800187,0.0245373729180111,0.9
"X11",-0.481027395276093,-0.457820153606065,0.653375987617814,15.3,-0.944986397636971,0.0316868247960461,0.9
"X12",-0.404506004771675,-0.394852521130135,0.700144471993537,13,-0.814197280321056,0.00715895713338734,0.9
"X13",-0.447280742699025,-0.410937956903591,0.685966903269021,13.3,-0.886545558280545,0.0726330740910463,0.9
"X14",-0.460008373539812,-0.449323481141768,0.66809635370981,13.4,-0.913855665187556,-0.00816987634942022,0.9
"X15",-0.520224990110675,-0.488130135094059,0.631052249351191,15.3,-0.929214174584427,-0.139175711197928,0.9
"X16",-0.518706236261928,-0.478212352976977,0.640480597057357,15,-1.02789673826282,-0.0646193119865141,0.9
"X17",-0.45424610672589,-0.430008587902634,0.673564545690551,14,-0.868464340558978,0.0267803473005935,0.9
"X18",-0.514525128141331,-0.486795766319362,0.633801437863844,15.6,-0.978855654159673,-0.110272785219354,0.9
"X19",-0.454911866589326,-0.462443365128683,0.641610944082134,14.3,-0.967958919738409,0.0218774048142564,0.9
"X2",0.464080014238016,0.422837437604479,0.681112222239845,7.5,-0.389132462870628,1.2515808301308,0.9
"X20",-0.504010208891255,-0.47887242040184,0.640975305658926,15.4,-0.891180727977731,-0.0952445981856059,0.9
"X3",0.922913441767702,0.841260545592363,0.428360780482319,5.5,0.162640524188861,1.59576077497363,0.9
