"Features","Feature_Importance_Score","Test_Statistics","P.Value","Rank","LB","UB","snr"
"X1",0.853198171803089,0.458565367027571,0.654513534119163,7.8,0.272851065197893,1.39214081604179,0.1
"X10",-0.261412621853961,-0.146093503386958,0.88248426364179,16.5,-0.674986584511514,0.175370489039327,0.1
"X11",-0.230574476830333,-0.128070556165054,0.898938138722501,15.3,-0.590760181932621,0.158646698049869,0.1
"X12",-0.183183645046377,-0.0999161168091492,0.90901536192613,14.6,-0.556492380821427,0.224730015425661,0.1
"X13",-0.227696142211013,-0.119996232961833,0.901802799542217,15.1,-0.59982134133427,0.140096765831002,0.1
"X14",-0.210494260165607,-0.105714422088975,0.913025347835015,14.5,-0.613559643490455,0.181656206865891,0.1
"X15",-0.186751325120827,-0.101264273948925,0.89863589604131,14.4,-0.588966115673404,0.220068752858812,0.1
"X16",-0.244141869125561,-0.12526190122967,0.892908628374407,15.3,-0.656106318208863,0.145102553078844,0.1
"X17",-0.168608291172967,-0.0957673904093018,0.915424523808309,13.2,-0.519795477232657,0.224119632691116,0.1
"X18",-0.199102200889649,-0.102448900143321,0.903226522611938,13,-0.521795394718808,0.127110785320204,0.1
"X19",-0.105514896269966,-0.0796736527385873,0.917637995204233,12,-0.554890526850068,0.271862009299505,0.1
"X2",1.34543801485631,0.72348676900493,0.492150082040081,6.2,0.684895008918496,1.92949719509212,0.1
"X20",-0.250023207658067,-0.147591528969058,0.885402737828901,15.1,-0.701830183982051,0.183813304424404,0.1
"X3",2.00854529233923,1.11187306827264,0.340538776678519,4.3,0.998535883219692,2.85071332775797,0.1
"X4",1.54288813678069,0.781991312870635,0.445930770703783,5.4,0.298948135086464,2.74399316944602,0.1
"X5",1.23111687698411,0.671912666529595,0.528240928060602,6.3,0.320360150550055,2.15856728340217,0.1
"X6",2.99019458347755,1.60112201420457,0.160501133354985,3,1.48394617775171,4.40088200447832,0.1
"X7",6.53620625044881,3.58254074150656,0.00713306637011607,1.9,5.03837829274044,8.19940130978854,0.1
"X8",8.12095190682352,4.28852230463275,0.00176127636511197,1.1,6.60575506483166,9.54928029975036,0.1
"X9",-0.223472407128138,-0.115902330720029,0.904174522894655,15,-0.715046781247507,0.319318027092462,0.1
"X1",0.87520900401449,0.446315313751521,0.661289411307185,7.7,0.378511528685331,1.28429379725689,0.5
"X10",-0.311787845033829,-0.161580733957055,0.864709824100021,17.7,-0.84302112820446,0.16738712287537,0.5
"X11",-0.221979855236876,-0.107507250302292,0.914544770606808,14.7,-0.642201895258693,0.243335763655373,0.5
"X12",-0.200758920625718,-0.107734364710673,0.914527297641746,14.1,-0.709248666940154,0.257105960971488,0.5
"X13",-0.179457968518327,-0.0942783395520643,0.920147413261198,13.2,-0.5701361069987,0.186240949896867,0.5
"X14",-0.24499287241254,-0.129615021567081,0.897231066780927,15.5,-0.65125405830386,0.1817890762096,0.5
"X15",-0.153768078018332,-0.0591397107648429,0.909544868200847,12.9,-0.553117276225169,0.180349304546823,0.5
"X16",-0.247856068590398,-0.121408891024263,0.90344886778549,15.6,-0.667288451591033,0.147270946460248,0.5
"X17",-0.170486529259041,-0.0771558235241171,0.93395090929686,13,-0.521411122862605,0.182182684986882,0.5
"X18",-0.221800941393356,-0.114848831066976,0.908758791753304,14.6,-0.69432139737378,0.213533956735869,0.5
"X19",-0.161031232679455,-0.0670895730336149,0.928625844711069,12.6,-0.494610414679254,0.167621257320228,0.5
"X2",1.35536422605416,0.711815288780267,0.504841245363615,6.3,0.670172049694599,1.97943752220629,0.5
"X20",-0.235156464175207,-0.115154081417303,0.908374965530647,15.2,-0.547168610802668,0.0739661357454782,0.5
"X3",2.04972710733249,1.08761618359109,0.348618570454172,4.3,1.07988857568052,2.86292587885756,0.5
"X4",1.59972022062111,0.834316997607828,0.437223060522708,5.3,0.439087829493775,2.84398929531963,0.5
"X5",1.25741222944803,0.685270742664591,0.531296166070297,6.4,0.0849367652334217,2.32416655650899,0.5
"X6",3.00107356176687,1.580709737562,0.1809574001782,3,1.38014643006617,4.58348558276792,0.5
"X7",6.56808783762725,3.43806593445252,0.00854684476603416,2,5.05654747947662,8.19704642373232,0.5
"X8",8.05122020399704,4.05197007798316,0.00177901082539375,1,6.44439129633136,9.55214785287444,0.5
"X9",-0.247826220692362,-0.120093660904068,0.899585425811744,14.9,-0.681762254928511,0.152923351472655,0.5
"X1",0.897180667265958,0.439114040419849,0.663001910818703,7.6,0.301467926728259,1.42116579185489,0.75
"X10",-0.278228289073078,-0.159152180571183,0.874846361908706,15.3,-0.746963965473013,0.248119162863509,0.75
"X11",-0.238622163669176,-0.110828574202152,0.912020451351955,14.4,-0.689450276048827,0.226795376326675,0.75
"X12",-0.248591217617862,-0.127831533611977,0.898553643071862,14.5,-0.616475925429775,0.112421741740157,0.75
"X13",-0.148458745992873,-0.0748209713900101,0.937426707503718,11.6,-0.513488864682522,0.205374535955191,0.75
"X14",-0.249254609834044,-0.124311794091102,0.901280551449145,14.5,-0.662763782244773,0.126838829114758,0.75
"X15",-0.228897620450782,-0.129548014211713,0.893675263291257,14.2,-0.613410013750643,0.250062683719471,0.75
"X16",-0.233603272323838,-0.0951746788871084,0.910428508155765,14,-0.588211839675776,0.183742561862044,0.75
"X17",-0.257990396024829,-0.137031721651778,0.891393320387623,15.3,-0.606022096366542,0.192054536639434,0.75
"X18",-0.257758579986005,-0.130505168636557,0.896309192199646,14.4,-0.621761912999235,0.17647406151192,0.75
"X19",-0.267542923885921,-0.118946834773317,0.895540560345008,16.1,-0.679649554160745,0.169625740198947,0.75
"X2",1.39504291890204,0.722804608542353,0.49221783216027,6.1,0.608086514802437,2.16681539296365,0.75
"X20",-0.243148642570201,-0.139616598286986,0.87539675556052,14.9,-0.634065715066277,0.183259459797346,0.75
"X3",2.06022887814643,1.08959408193309,0.341426383300619,4.2,0.969180995369102,3.05726080886593,0.75
"X4",1.48999970080952,0.77215517243357,0.466265428564202,5.5,0.279629881140713,2.68162352455477,0.75
"X5",1.17721929095078,0.625613492409196,0.557024197078357,6.6,0.0539383257709044,2.27490630767823,0.75
"X6",3.07381343748758,1.57116444421098,0.174355595526634,3,1.36505771359712,4.54161333694853,0.75
"X7",6.61585919635679,3.54143900913289,0.00963018713012163,2,5.12600129205296,8.19117466358104,0.75
"X8",8.05386143813205,4.1875779335192,0.00374442163247112,1,6.43592316366352,9.65498130129184,0.75
"X9",-0.247485833019991,-0.133167206931906,0.894461190273771,14.8,-0.742867452600114,0.29052054641902,0.75
"X1",0.730762362488685,0.272280575152168,0.786288046681036,7.5,-0.0829896771947216,1.44835488619131,2.1
"X10",-0.40919584843727,-0.175446928452504,0.852843995519653,16.2,-0.849485258411968,0.102297484912396,2.1
"X11",-0.409865543347538,-0.159812137090626,0.873904549805682,15.6,-0.745340781060948,-0.0635851629032626,2.1
"X12",-0.359077123595056,-0.142216078301075,0.881874410767189,14.7,-0.798760239075147,0.0891822402614827,2.1
"X13",-0.2950801592079,-0.128007696726108,0.89557903020163,13.4,-0.784037952274093,0.154857302244038,2.1
"X14",-0.31793522766596,-0.119466179087214,0.90510198811627,13.7,-0.669695025738155,0.0744812140397398,2.1
"X15",-0.353637628175915,-0.146973516845776,0.883726915246943,14.6,-0.811716846823857,0.133090057403053,2.1
"X16",-0.345475922561214,-0.152918293920632,0.876447752461462,13.4,-0.693720287189606,0.0574402010902353,2.1
"X17",-0.380821548207248,-0.157056951889695,0.875554610733977,15.4,-0.783683294847446,0.0251654696414696,2.1
"X18",-0.277057477268861,-0.115228995816675,0.908473832012604,12.8,-0.73908717079048,0.146773594509867,2.1
"X19",-0.322155755825879,-0.128683229521909,0.898044965201386,13.7,-0.73415156355394,0.0675587929904769,2.1
"X2",1.23366679797016,0.497632074346267,0.62672088628751,6.2,0.371328338293796,1.95702950307933,2.1
"X20",-0.369275255112764,-0.151109634394364,0.880516730204998,15.1,-0.849257005419439,0.103340936161604,2.1
"X3",1.90979932732988,0.784116907481417,0.468404071178101,4.6,0.999594892469175,2.90077857738321,2.1
"X4",1.4286278036095,0.581672821795669,0.571893028628996,5.4,0.164364869202309,2.5694822203663,2.1
"X5",1.16585571403544,0.48256703542114,0.641334838277607,6.1,-0.115337671156129,2.33861568521242,2.1
"X6",2.86083601600199,1.09902017651291,0.302837826639295,3.2,0.964199029778851,4.69874097636585,2.1
"X7",6.6803105314134,2.71568703697935,0.0336257376121879,2,4.63705933894013,8.83181682315719,2.1
"X8",8.09440454979056,3.20771718795739,0.0183194672159156,1,6.27085817103027,9.87995136381876,2.1
"X9",-0.434801176062801,-0.180029490740399,0.858190938999408,15.4,-1.02878024374514,0.0705577469511741,2.1
