"Features","Feature_Importance_Score","Test_Statistics","P.Value","Rank","LB","UB"
"X1",0.27700338989291,0.839101680498015,0.277105235326184,8.2,-0.366446786129154,0.920453565914974
"X10",-0.368955085474929,-1.29402511150067,0.349863121986396,13.6,-0.886722035393808,0.148811864443951
"X11",-0.354552362653336,-1.28222450973063,0.239227943035509,13.2,-0.88258230343178,0.173477578125108
"X12",-0.432248742967095,-1.55770884134453,0.377757075465052,14,-0.934712056766609,0.07021457083242
"X13",-0.488750024433454,-1.99944602480167,0.163341598505217,15.4,-0.961640245654874,-0.0158598032120346
"X14",-0.446252094134123,-1.6309790083696,0.186650443170535,14.7,-0.974230168205612,0.0817259799373655
"X15",-0.367660447526691,-1.36884524985486,0.293529327724885,13.8,-0.887069474917666,0.151748579864285
"X16",-0.472706881727628,-1.84762211084643,0.159420636217627,15.5,-0.986634175730056,0.0412204122747997
"X17",-0.450811415151465,-1.70332669406669,0.257677137368437,14.8,-0.946936360311121,0.0453135300081917
"X18",-0.363479720258063,-1.29127552673652,0.329331245169597,13.7,-0.89168176869385,0.164722328177725
"X19",-0.331030419449107,-1.26177144507488,0.34715561205329,13,-0.831888584299511,0.169827745401296
"X2",0.438880338888857,1.13561147942667,0.378490893085979,7.3,-0.282097740467465,1.15985841824518
"X20",-0.473819416748762,-1.76597813881188,0.210505870540808,15.4,-0.978187373188407,0.0305485396908838
"X3",1.13560789341626,2.29989799817178,0.10532564518161,5.3,0.124907461761189,2.14630832507133
"X4",1.25519205895746,2.7175722234133,0.06650997961806,4.9,0.351087882646368,2.15929623526856
"X5",1.13309971840953,2.25821125146928,0.0579142573137852,5,0.137540943840554,2.1286584929785
"X6",3.63899518300523,4.42114972028107,0.0559080276701288,3.3,1.98470161965824,5.29328874635222
"X7",10.5723183563582,6.8201829680064,5.65342679156754e-08,2,7.49211845434241,13.652518258374
"X8",18.8883310301849,8.78503104131793,5.61335955077505e-16,1,14.6566206266009,23.120041433769
"X9",-0.516312312447817,-1.98287958804558,0.159404340517726,15.9,-1.01464171703298,-0.0179829078626553
