"Features","Feature_Importance_Score","Test_Statistics","P.Value","Rank","LB","UB","Correlation"
"X1",0.27700338989291,0.839101680498015,0.277105235326184,8.2,-0.366446786129154,0.920453565914974,0
"X10",-0.368955085474929,-1.29402511150067,0.349863121986396,13.6,-0.886722035393808,0.148811864443951,0
"X11",-0.354552362653336,-1.28222450973063,0.239227943035509,13.2,-0.88258230343178,0.173477578125108,0
"X12",-0.432248742967095,-1.55770884134453,0.377757075465052,14,-0.934712056766609,0.07021457083242,0
"X13",-0.488750024433454,-1.99944602480167,0.163341598505217,15.4,-0.961640245654874,-0.0158598032120346,0
"X14",-0.446252094134123,-1.6309790083696,0.186650443170535,14.7,-0.974230168205612,0.0817259799373655,0
"X15",-0.367660447526691,-1.36884524985486,0.293529327724885,13.8,-0.887069474917666,0.151748579864285,0
"X16",-0.472706881727628,-1.84762211084643,0.159420636217627,15.5,-0.986634175730056,0.0412204122747997,0
"X17",-0.450811415151465,-1.70332669406669,0.257677137368437,14.8,-0.946936360311121,0.0453135300081917,0
"X18",-0.363479720258063,-1.29127552673652,0.329331245169597,13.7,-0.89168176869385,0.164722328177725,0
"X19",-0.331030419449107,-1.26177144507488,0.34715561205329,13,-0.831888584299511,0.169827745401296,0
"X2",0.438880338888857,1.13561147942667,0.378490893085979,7.3,-0.282097740467465,1.15985841824518,0
"X20",-0.473819416748762,-1.76597813881188,0.210505870540808,15.4,-0.978187373188407,0.0305485396908838,0
"X3",1.13560789341626,2.29989799817178,0.10532564518161,5.3,0.124907461761189,2.14630832507133,0
"X4",1.25519205895746,2.7175722234133,0.06650997961806,4.9,0.351087882646368,2.15929623526856,0
"X5",1.13309971840953,2.25821125146928,0.0579142573137852,5,0.137540943840554,2.1286584929785,0
"X6",3.63899518300523,4.42114972028107,0.0559080276701288,3.3,1.98470161965824,5.29328874635222,0
"X7",10.5723183563582,6.8201829680064,5.65342679156754e-08,2,7.49211845434241,13.652518258374,0
"X8",18.8883310301849,8.78503104131793,5.61335955077505e-16,1,14.6566206266009,23.120041433769,0
"X9",-0.516312312447817,-1.98287958804558,0.159404340517726,15.9,-1.01464171703298,-0.0179829078626553,0
"X1",0.77589945083446,1.89692679058881,0.172226820522742,6.5,0.0107739824998724,1.54102491916905,0.5
"X10",-0.297906219721669,-1.08830038943991,0.362897780912653,13.5,-0.831665639071642,0.235853199628303,0.5
"X11",-0.437099100732344,-1.7060492986064,0.246376691711635,15.8,-0.937983078279373,0.0637848768146848,0.5
"X12",-0.359323768720848,-1.35826134849285,0.224945982804112,14.9,-0.867546178950084,0.148898641508388,0.5
"X13",-0.285905761591255,-1.11844224220119,0.294227222782693,13.4,-0.811984238085051,0.240172714902541,0.5
"X14",-0.337525326923345,-1.2818639293737,0.278732389526006,13.8,-0.849675186549073,0.174624532702383,0.5
"X15",-0.526853134851774,-1.94035097553517,0.126841663115324,16.3,-1.05866115727431,0.0049548875707653,0.5
"X16",-0.290050273252941,-1.14992011737233,0.246190387418529,13.7,-0.808644596521944,0.228544050016063,0.5
"X17",-0.35904330011262,-1.37026207460416,0.350561262889472,14.8,-0.872385389756999,0.154298789531759,0.5
"X18",-0.25564245472916,-0.941034563114676,0.252203520720751,13.7,-0.771183820750749,0.25989891129243,0.5
"X19",-0.381187351106202,-1.43090937164353,0.283118246126333,15.2,-0.918943698283232,0.156568996070828,0.5
"X2",0.77569545599241,1.73831804139577,0.272638912954492,7,-0.120683256005649,1.67207416799047,0.5
"X20",-0.347376483925319,-1.18592048049938,0.229180621579494,15,-0.859013776454369,0.164260808603732,0.5
"X3",1.12305374817114,2.52320455828847,0.0729933458883839,5.5,0.249239084827483,1.99686841151481,0.5
"X4",1.21123660738386,2.48970954575938,0.157203282427553,5.3,0.230936017162888,2.19153719760484,0.5
"X5",1.23691717907986,2.52040463935473,0.0927419339110821,5.7,0.223557523851316,2.2502768343084,0.5
"X6",4.10458701503726,4.94938368571671,0.000966040872074443,3,2.43225486155272,5.7769191685218,0.5
"X7",8.63332851970613,6.25898212048522,1.17650429947852e-06,2,5.85608806493161,11.4105689744807,0.5
"X8",16.8993489776569,7.80897866879069,3.15179655569235e-12,1,12.6344413876851,21.1642565676286,0.5
"X9",-0.381981782957482,-1.26487479891247,0.321552067925921,13.9,-0.926059920560229,0.162096354645266,0.5
"X1",0.658165342568738,1.64174324079057,0.276047965835017,6.4,-0.158213149302258,1.47454383443973,0.75
"X10",-0.721516252520777,-2.80673539591381,0.034191621566013,16.4,-1.2139629552128,-0.229069549828753,0.75
"X11",-0.549194809651515,-2.13185153893634,0.0852243054467582,14.4,-1.06135215796188,-0.0370374613411525,0.75
"X12",-0.517504438928772,-1.99051011841388,0.271671697330726,13.5,-1.0020493807838,-0.0329594970737402,0.75
"X13",-0.517486184834759,-1.97966218052864,0.221672604943563,13.8,-1.02003975293984,-0.0149326167296812,0.75
"X14",-0.547481937003079,-1.94034609619135,0.24851642775876,13.5,-1.07602851570438,-0.0189353583017759,0.75
"X15",-0.652157922809349,-2.3380553032368,0.10014682850499,16.2,-1.1967114164339,-0.107604429184799,0.75
"X16",-0.578663152806751,-2.30322410161664,0.162456613692635,14.4,-1.07690218651331,-0.0804241191001906,0.75
"X17",-0.541745606175792,-1.96184583667311,0.308931725801674,13.8,-1.05840519203465,-0.0250860203169327,0.75
"X18",-0.543930569344289,-2.11263307846425,0.108103556567079,14,-1.03070778565754,-0.0571533530310351,0.75
"X19",-0.50269762246256,-1.97345443442267,0.0987788545752083,13.4,-1.00004711590901,-0.00534812901610729,0.75
"X2",0.75801691365323,1.6810438340994,0.17954487703214,6.4,-0.124979285569717,1.64101311287618,0.75
"X20",-0.688821863380053,-2.55131288750339,0.152002055012955,15.8,-1.19898447555336,-0.178659251206749,0.75
"X3",0.813599076450186,1.77989322008298,0.215263877038011,6,-0.0703324829576892,1.69753063585806,0.75
"X4",1.00228031294102,2.35363815758794,0.130273784337776,5.4,0.0900483477916958,1.91451227809034,0.75
"X5",1.07646099207647,2.26168812757057,0.223975994519146,5.8,0.119231744640853,2.03369023951209,0.75
"X6",3.90138891616896,4.71830150325713,0.00803366703938184,3,2.2107901248391,5.59198770749882,0.75
"X7",8.27026590474983,6.08953805026155,3.08249252626377e-06,2,5.53234586876909,11.0081859407306,0.75
"X8",16.7103142724728,7.74100143478755,1.54760741823583e-12,1,12.4605970777647,20.960031467181,0.75
"X9",-0.606468816096872,-2.22107107996874,0.23261303793199,14.8,-1.11112071690268,-0.101816915291068,0.75
"X1",0.695350051794816,1.64738485434559,0.301101351929798,6.6,-0.155109955719183,1.54581005930882,0.9
"X10",-0.727532929611852,-2.63631384233419,0.131504462832185,16,-1.25425348728949,-0.200812371934214,0.9
"X11",-0.581902223839543,-2.26483960224626,0.0909719851371352,14.3,-1.07351543023872,-0.0902890174403712,0.9
"X12",-0.650554763711703,-2.4723329115342,0.130241330792484,15.3,-1.17079968628478,-0.130309841138623,0.9
"X13",-0.554975201991559,-2.17566761758841,0.114099465936501,14.5,-1.0418009959161,-0.0681494080670203,0.9
"X14",-0.658341338653935,-2.38700813138685,0.111867940036122,15.4,-1.18168730359149,-0.134995373716382,0.9
"X15",-0.539135279205811,-1.99970069562291,0.143157860975126,13.9,-1.06144141445572,-0.0168291439559004,0.9
"X16",-0.616706246005856,-2.38249607821513,0.10811358089242,14.4,-1.12617375896393,-0.107238733047779,0.9
"X17",-0.519927924725959,-1.90672862803863,0.305365889910829,13.2,-1.02007710230964,-0.0197787471422763,0.9
"X18",-0.609254441839935,-2.41505224750317,0.0710790481131086,13.7,-1.09584062296802,-0.122668260711848,0.9
"X19",-0.542652696011419,-2.18838001802381,0.174910015569209,13.1,-1.02426154206198,-0.0610438499608602,0.9
"X2",0.533020016825599,1.30072238298959,0.156627216803229,6.6,-0.280511717090853,1.34655175074205,0.9
"X20",-0.629634501462586,-2.40040901975004,0.0377446239136169,14.9,-1.15526570385911,-0.104003299066059,0.9
"X3",0.80020223714562,1.80731441175022,0.23642178380564,5.7,-0.0467090120792998,1.64711348637054,0.9
"X4",0.982867798308027,2.28526069355012,0.0766886896634004,6,0.0556170015603657,1.91011859505569,0.9
