"Features","Feature_Importance_Score","Test_Statistics","P.Value","Rank","LB","UB","snr"
"X1",0.856162162385361,2.62153467877606,0.0885033087632831,7.2,0.197335404047148,1.51498892072357,0.1
"X10",-0.383833058542949,-1.5524084466983,0.275887004143466,14.2,-0.864706985771972,0.0970408686860745,0.1
"X11",-0.335489846988103,-1.14720027461093,0.386000744408284,13.4,-0.85515488759636,0.184175193620154,0.1
"X12",-0.418823482680737,-1.65729787576576,0.262420828068345,15.7,-0.905886508337372,0.0682395429758987,0.1
"X13",-0.362539631136257,-1.41365122531302,0.246252563815282,14.8,-0.857773279532891,0.132694017260377,0.1
"X14",-0.420821565324931,-1.67340209410978,0.251935492354832,15,-0.915173459117644,0.0735303284677829,0.1
"X15",-0.32811397304173,-1.31038806031172,0.303089634952742,13.4,-0.828060773601588,0.171832827518127,0.1
"X16",-0.387463546836302,-1.49899176049185,0.157522347634245,15.3,-0.879812250688041,0.104885157015436,0.1
"X17",-0.274088784016641,-1.05858156223003,0.369037675687033,12.9,-0.772767938063969,0.224590370030688,0.1
"X18",-0.334968101464905,-1.23024664043045,0.396179418543278,13.6,-0.835495300832253,0.165559097902443,0.1
"X19",-0.435804536921306,-1.80466204122828,0.199651058808355,15.5,-0.894993580855883,0.0233845070132718,0.1
"X2",1.35644886936678,3.54177578736248,0.0484953636712975,5.8,0.560446001822953,2.1524517369106,0.1
"X20",-0.469455498644871,-1.87678820735686,0.207322610729323,15.1,-0.950630202358305,0.0117192050685642,0.1
"X3",1.8829034555167,3.49937890981106,0.00871704495937211,4.7,0.830656828729648,2.93515008230374,0.1
"X4",1.38509487123673,2.33621545506985,0.178999708833857,5.5,0.0951522957178255,2.67503744675564,0.1
"X5",0.970963760209781,1.49001712516081,0.206141368581745,7.7,-0.521189503047527,2.46311702346709,0.1
"X6",2.89343556440397,3.22945425759833,0.0208418722300403,3.3,1.11482647917687,4.67204464963107,0.1
"X7",7.58918851713805,6.33722433942337,1.34807221499247e-06,1.7,5.19962571628261,9.9787513179935,0.1
"X8",7.97017582343268,7.49544162627176,7.15487693750019e-10,1.3,5.85204856291557,10.0883030839498,0.1
"X9",-0.334023841124223,-1.03327411788113,0.212564104366889,13.9,-0.923425322927465,0.255377640679019,0.1
"X1",0.757092682821882,2.31263007652518,0.121411969734045,7.4,0.0649705356040991,1.44921483003967,0.5
"X10",-0.34443760507646,-1.19907580343614,0.254453669600686,15,-0.859048142911229,0.170172932758309,0.5
"X11",-0.291299365944374,-1.02252122916837,0.274314506922017,14.9,-0.809551850608947,0.226953118720199,0.5
"X12",-0.299071783407852,-1.20196018856032,0.185869920531163,14.7,-0.802756545998591,0.204612979182887,0.5
"X13",-0.35469769797619,-1.28617822807591,0.177540347122309,15.1,-0.847826091410353,0.138430695457972,0.5
"X14",-0.283589791664511,-1.14082516332363,0.38517043998697,14.9,-0.766052821299379,0.198873237970358,0.5
"X15",-0.180114750010225,-0.764020808182553,0.411254078518167,13,-0.633381260791105,0.273151760770655,0.5
"X16",-0.113486373402795,-0.321480600600103,0.162738137338297,11.5,-0.621140816536428,0.394168069730839,0.5
"X17",-0.217126624828011,-0.899304649034561,0.255987373959309,14,-0.700894921064582,0.266641671408561,0.5
"X18",-0.377254720943156,-1.60237193555113,0.159470555906877,15.4,-0.856344282516839,0.101834840630526,0.5
"X19",-0.326541252718163,-1.34062864222375,0.260865630032092,14.4,-0.810700497751932,0.157617992315606,0.5
"X2",1.44443225776762,3.75466003616862,0.0568674854553829,5.9,0.649956799107493,2.23890771642775,0.5
"X20",-0.408237737702976,-1.55301360401539,0.269762212090019,15.7,-0.909429215402684,0.092953739996731,0.5
"X3",2.06243243212608,4.0063205746965,0.0123085148268631,4.6,1.01958229052583,3.10528257372633,0.5
"X4",1.65663454271974,2.45864135149563,0.174843276010535,5.3,0.309990181060576,3.0032789043789,0.5
"X5",1.1168365085374,1.62358535031702,0.298960891272876,7.4,-0.394109468889288,2.6277824859641,0.5
"X6",3.13107243109892,3.3473880571369,0.0366739893208518,3.3,1.24511984899784,5.01702501319999,0.5
"X7",7.68590277551672,6.29005851403877,4.74714343482161e-07,1.6,5.27777559922206,10.0940299518114,0.5
"X8",8.14539280972549,7.34597265217945,4.95648108982798e-11,1.4,5.94895753018052,10.3418280892705,0.5
"X9",-0.346242928569226,-0.947492998184952,0.375626955356716,14.5,-0.999873569299454,0.307387712161002,0.5
"X1",0.823127693532522,2.38087693693899,0.0414384444546326,7.7,0.13568217526138,1.51057321180366,0.75
"X10",-0.348175223510539,-1.33488668448726,0.32346756444775,15.7,-0.878551367221992,0.182200920200913,0.75
"X11",-0.268940172224937,-1.00728433148172,0.207356378984952,14.6,-0.78556312997676,0.247682785526886,0.75
"X12",-0.275977226990033,-1.13984019362489,0.277407273683597,14.7,-0.760835937076256,0.20888148309619,0.75
"X13",-0.304145856623351,-1.08239530959318,0.128283713791645,15.3,-0.838242117600823,0.22995040435412,0.75
"X14",-0.147414293216958,-0.652257329472943,0.390477451639105,12.9,-0.629026806485198,0.334198220051283,0.75
"X15",-0.235749035635464,-1.08526323989171,0.140608423543994,13.8,-0.729444566520453,0.257946495249526,0.75
"X16",-0.2286387267658,-0.862070562775449,0.356108900746841,13.8,-0.730627480794776,0.273350027263175,0.75
"X17",-0.282278163330578,-1.07299044017583,0.307289212075805,14.2,-0.774875070485523,0.210318743824368,0.75
"X18",-0.278816600397907,-1.11399690599054,0.135752392487688,14,-0.777389502619322,0.219756301823508,0.75
"X19",-0.333911917968253,-1.28000428857059,0.23445778295255,15.2,-0.858832195844887,0.191008359908382,0.75
"X2",1.47714744806653,3.51657018806878,0.0386979484852136,6.2,0.635052195112124,2.31924270102093,0.75
"X20",-0.401889326027164,-1.7196129079811,0.187565615111554,16.4,-0.893639810035745,0.0898611579814179,0.75
"X3",2.09622804105014,3.98830647916429,0.0096052565688324,4.4,1.06287224691155,3.12958383518874,0.75
"X4",1.58315133056441,2.5103826781475,0.214678155642067,5.4,0.289938739047587,2.87636392208122,0.75
"X5",1.051225464597,1.53253832717944,0.203427905215656,7.6,-0.501031679621006,2.60348260881501,0.75
"X6",3.0774918904017,3.38203207988886,0.0203931211242478,3.5,1.26569461209217,4.88928916871123,0.75
"X7",7.73478330848169,6.19385426036845,1.38738084302239e-07,1.7,5.27049814501032,10.1990684719531,0.75
"X8",8.08922939968695,7.27397544876913,5.62436601644615e-11,1.3,5.88306860599182,10.2953901933821,0.75
"X9",-0.0837179712631755,-0.15287252052234,0.394741551345169,11.6,-0.735297081709043,0.567861139182692,0.75
"X1",0.867846071453363,2.23220755407037,0.113409486372797,7.2,0.0957182586770354,1.63997388422969,2.1
"X10",-0.284160060601253,-1.0351907051158,0.320438128572682,14.1,-0.86042244446904,0.292102323266533,2.1
"X11",-0.41861544062099,-1.19483742799816,0.369433372399121,14.7,-1.07604333950519,0.238812458263214,2.1
"X12",-0.299317710711628,-1.03192584594692,0.269345833592577,14.2,-0.884295212612232,0.285659791188976,2.1
"X13",-0.193550036081374,-0.593870188682153,0.43452829272309,13.1,-0.796842019556924,0.409741947394175,2.1
"X14",-0.177802466587213,-0.540321365887842,0.228754142529233,13.4,-0.777239840371222,0.421634907196796,2.1
"X15",-0.398875381485668,-1.37665183276194,0.283444005880701,16.3,-0.976108441219149,0.178357678247813,2.1
"X16",-0.28362895810909,-0.906019542013109,0.297296066470493,13.7,-0.870824415579927,0.303566499361748,2.1
"X17",-0.228548579286062,-0.81107778823733,0.426921783045809,12.8,-0.799796240974722,0.342699082402598,2.1
"X18",-0.511218316548681,-1.61314385584412,0.194716066916121,15.7,-1.08739109787905,0.0649544647816866,2.1
"X19",-0.340598364756989,-1.13953365551068,0.265002574165012,14.9,-0.908124562733667,0.226927833219689,2.1
"X2",1.49041446992416,3.03628411771757,0.114376579331803,6,0.468679303022101,2.51214963682622,2.1
"X20",-0.352427110749015,-1.09715359242746,0.297760838506165,14.8,-0.939748457176544,0.234894235678513,2.1
"X3",2.10507273581476,3.60642572544357,0.043549503783593,4.7,0.90924680887573,3.30089866275379,2.1
"X4",1.5658725768731,2.19009482695988,0.198127901470691,6.2,0.0819629355366414,3.04978221820956,2.1
"X5",1.12979317018371,1.48243129260074,0.2301832105472,7.9,-0.59883281016387,2.85841915053129,2.1
"X6",2.93431734778754,2.75200842277508,0.0860136191392871,3.6,0.76481263444729,5.10382206112778,2.1
"X7",7.56570997630279,5.3920370124825,1.34911611381328e-05,1.8,4.77743161134506,10.3539883412605,2.1
"X8",8.34216990688217,6.50785860048164,1.70746475597569e-08,1.2,5.80237958043092,10.8819602333334,2.1
"X9",-0.271800352303393,-0.640796650011695,0.355176486646814,13.7,-1.04424470590552,0.500644001298735,2.1
